Time	[Epidermal_Growth_Factor]	[EGFR]	[EGF_EGFR]	[(EGF_EGFR)2]	[(EGF_EGFR)2-P]	[PLCg]	[(EGF_EGFR)2_PLCg]	[(EGF_EGFR)2_PLCg-P]	[PLCg-P]	[Grb2]	[(EGF_EGFR)2_Grb2]	[SOS]	[(EGF_EGFR)2_Grb2_SOS]	[Grb2_SOS]	[Shc]	[(EGF_EGFR)2_Shc]	[(EGF_EGFR)_Shc-P]	[Shc-P]	[(EGF_EGFR)2_Shc_Grb2]	[Shc_Grb2]	[(EGF_EGFR)2_Shc_Grb2_SOS]	[Shc_Grb2_SOS]	[PLCgP-I]
0	680	100	0	0	0	105	0	0	0	85	0	34	0	0	150	0	0	0	0	0	0	0	0
1	596.597	16.5969	47.4692	13.8553	0.506827	103.81	0.93258	0.242056	0.0129447	84.5732	0.045722	33.703	0.00422251	0.286036	147.513	0.84255	1.45574	0.0981366	0.0765645	0.00753072	0.00536214	0.0013324	0.002207
2	583.891	3.89092	32.0769	17.2661	0.775647	100.038	2.81383	1.85308	0.207652	83.0384	0.175958	33.1969	0.0405042	0.548995	139.49	1.50683	6.64224	1.16493	0.804334	0.178278	0.137586	0.0759683	0.0869429
3	581.411	1.41063	22.9568	14.2096	0.786332	96.0638	3.63441	4.11806	0.679045	80.0831	0.285601	32.0321	0.11257	0.769567	130.826	1.51337	10.6106	3.30062	1.9662	0.697183	0.579526	0.506211	0.50464
4	580.801	0.800983	17.8959	11.2524	0.759302	92.4514	3.77586	6.06241	1.26361	76.2135	0.359196	30.0123	0.202378	0.972543	122.904	1.40372	12.5924	5.84725	2.9669	1.47268	1.277	1.53579	1.44669
5	580.59	0.59034	14.8487	9.32675	0.742294	89.1333	3.7028	7.43698	1.8034	71.8956	0.410683	27.2952	0.294363	1.19882	115.705	1.30574	13.3874	8.40115	3.62322	2.36567	2.05024	3.16137	2.92355
6	580.488	0.487886	12.8805	8.21506	0.739714	85.9966	3.60319	8.32729	2.23574	67.4142	0.452781	24.1751	0.379586	1.46968	109.032	1.23302	13.6222	10.829	3.98971	3.31843	2.7532	5.22242	4.83719
7	580.426	0.426326	11.5519	7.62322	0.748398	82.9655	3.5266	8.88122	2.56096	62.9324	0.492986	20.9238	0.453936	1.77976	102.732	1.17936	13.6259	13.1217	4.16549	4.3329	3.31372	7.52882	7.06572
8	580.386	0.385649	10.6353	7.34843	0.765151	79.9951	3.47675	9.22045	2.80254	58.5487	0.535054	17.7441	0.515966	2.10663	96.7103	1.13786	13.548	15.3102	4.22701	5.43336	3.71484	9.91849	9.50518
9	580.358	0.357821	10.0006	7.26924	0.78783	77.0593	3.4469	9.428	2.986	54.328	0.580608	14.7759	0.56554	2.42263	90.9105	1.10372	13.4494	17.4331	4.22085	6.64649	3.96873	12.2672	12.0798
10	580.339	0.33871	9.56726	7.31591	0.815146	74.1429	3.43012	9.55635	3.13159	50.3164	0.630097	12.1113	0.603174	2.70305	85.3009	1.07386	13.3511	19.5269	4.1721	7.99269	4.09915	14.4833	14.739
11	580.326	0.325845	9.28267	7.44864	0.846367	71.2375	3.42131	9.63752	3.2534	46.5477	0.683274	9.80539	0.629783	2.93007	79.8639	1.04632	13.2571	21.6235	4.09318	9.48124	4.13221	16.5025	17.4503
12	580.318	0.317615	9.11069	7.64452	0.881097	68.3383	3.41693	9.69049	3.36063	43.0455	0.73943	7.88184	0.646577	3.09388	74.5911	1.01986	13.1647	23.7497	3.99003	11.1069	4.09221	18.2855	20.1937
13	580.313	0.312914	9.02576	7.89017	0.919141	65.4435	3.41455	9.72624	3.45894	39.8243	0.797544	6.33601	0.655012	3.19227	69.4795	0.993631	13.0685	25.9275	3.8659	12.8483	3.99996	19.8167	22.9568
