Time	[S]	[ES]
0	0	0
1	0.987604	-0.987604
2	1.95082	-1.95082
3	2.89026	-2.89026
4	3.8065	-3.8065
5	4.70012	-4.70012
6	5.57168	-5.57168
7	6.42172	-6.42172
8	7.25077	-7.25077
9	8.05935	-8.05935
10	8.84797	-8.84797
11	9.61711	-9.61711
12	10.3673	-10.3673
13	11.0989	-11.0989
14	11.8125	-11.8125
15	12.5084	-12.5084
16	13.1872	-13.1872
17	13.8492	-13.8492
18	14.4949	-14.4949
19	15.1246	-15.1246
20	15.7388	-15.7388
21	16.3378	-16.3378
22	16.922	-16.922
23	17.4918	-17.4918
24	18.0475	-18.0475
25	18.5895	-18.5895
26	19.1182	-19.1182
27	19.6337	-19.6337
28	20.1366	-20.1366
29	20.627	-20.627
30	21.1053	-21.1053
31	21.5718	-21.5718
32	22.0268	-22.0268
33	22.4706	-22.4706
34	22.9034	-22.9034
35	23.3255	-23.3255
36	23.7372	-23.7372
37	24.1387	-24.1387
38	24.5304	-24.5304
39	24.9123	-24.9123
40	25.2848	-25.2848
41	25.6481	-25.6481
42	26.0025	-26.0025
43	26.3481	-26.3481
44	26.6852	-26.6852
45	27.0139	-27.0139
46	27.3345	-27.3345
47	27.6472	-27.6472
48	27.9522	-27.9522
49	28.2497	-28.2497
50	28.5398	-28.5398
51	28.8228	-28.8228
52	29.0987	-29.0987
53	29.3679	-29.3679
54	29.6304	-29.6304
55	29.8864	-29.8864
56	30.1361	-30.1361
57	30.3797	-30.3797
58	30.6172	-30.6172
59	30.8489	-30.8489
60	31.0748	-31.0748
61	31.2952	-31.2952
62	31.5101	-31.5101
63	31.7197	-31.7197
64	31.9241	-31.9241
65	32.1235	-32.1235
66	32.318	-32.318
67	32.5077	-32.5077
68	32.6927	-32.6927
69	32.8731	-32.8731
70	33.049	-33.049
71	33.2207	-33.2207
72	33.3881	-33.3881
73	33.5513	-33.5513
74	33.7105	-33.7105
75	33.8658	-33.8658
76	34.0173	-34.0173
77	34.165	-34.165
78	34.309	-34.309
79	34.4496	-34.4496
80	34.5866	-34.5866
81	34.7203	-34.7203
82	34.8506	-34.8506
83	34.9777	-34.9777
84	35.1017	-35.1017
85	35.2227	-35.2227
86	35.3406	-35.3406
87	35.4557	-35.4557
88	35.5679	-35.5679
89	35.6773	-35.6773
90	35.784	-35.784
91	35.8881	-35.8881
92	35.9897	-35.9897
93	36.0887	-36.0887
94	36.1852	-36.1852
95	36.2794	-36.2794
96	36.3713	-36.3713
97	36.4609	-36.4609
98	36.5483	-36.5483
99	36.6335	-36.6335
100	36.7166	-36.7166
