Time	[Mdm2]	[p53]	[Mdm2_p53]	[Mdm2_mRNA]	[p53_mRNA]	[ATMA]	[ATMI]	[p53_P]	[Mdm2_P]	[IR]	[ROS]	[damDNA]	[E1]	[E2]	[E1_Ub]	[E2_Ub]	[Proteasome]	[Ub]	[p53DUB]	[Mdm2DUB]	[DUB]	[Mdm2_p53_Ub]	[Mdm2_p53_Ub2]	[Mdm2_p53_Ub3]	[Mdm2_p53_Ub4]	[Mdm2_P1_p53_Ub4]	[Mdm2_Ub]	[Mdm2_Ub2]	[Mdm2_Ub3]	[Mdm2_Ub4]	[Mdm2_P_Ub]	[Mdm2_P_Ub2]	[Mdm2_P_Ub3]	[Mdm2_P_Ub4]	[p53_Ub4_Proteasome]	[Mdm2_Ub4_Proteasome]	[Mdm2_P_Ub4_Proteasome]	[GSK3b]	[GSK3b_p53]	[GSK3b_p53_P]	[Abeta]	[AggAbeta_Proteasome]	[AbetaPlaque]	[Tau]	[Tau_P1]	[Tau_P2]	[MT_Tau]	[AggTau]	[AggTau_Proteasome]	[Proteasome_Tau]	[PP1]	[NFT]	[ATP]	[ADP]	[AMP]	[AbetaDimer]	[AbetaPlaque_GliaA]	[GliaI]	[GliaM1]	[GliaM2]	[GliaA]	[antiAb]	[Abeta_antiAb]	[AbetaDimer_antiAb]	[degAbetaGlia]	[disaggPlaque1]	[disaggPlaque2]	[Source]	[Sink]
0	5	5	95	10	10	0	200	0	0	0	0	0	100	100	0	0	500	4000	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	100	0	0	0	50	0	10000	1000	1000	0	0	100	0	0	0	0	0	0	0	0	0	1	1
1	4.97711	5.03717	95.0242	9.99751	10	3.10273e-18	200	5.75725e-22	5.70022e-18	0	1.86305e-10	6.2076e-16	60.6424	97.8509	39.3576	2.14905	500	3958.49	200	200	200	0.00358021	1.35235e-05	3.40769e-08	5.35651e-11	1.09606e-11	1.71585e-05	2.95906e-08	3.40232e-11	2.93637e-14	1.08184e-23	1.00305e-26	7.34193e-30	4.45037e-33	8.25232e-16	2.36669e-18	2.58403e-37	499.995	0.00501356	9.69252e-26	1.86464e-05	2.16871e-21	4.30246e-34	0.00919979	0.000393246	1.23428e-05	99.9905	2.95107e-13	3.78703e-18	4.5438e-07	50	1.28543e-29	10000	1000	1000	1.73626e-16	0	100	3.22452e-39	5.21916e-80	0	0	0	0	0	1.07484e-38	0	1	1
2	4.95406	5.07423	95.0311	9.99505	10	4.96874e-17	200	1.71877e-20	1.68451e-16	0	7.46444e-10	4.97217e-15	39.6765	93.015	60.3235	6.98496	500	3932.67	200	200	200	0.0239864	0.000615892	1.05885e-05	9.62355e-08	4.19526e-08	0.000115936	1.36532e-06	1.07358e-08	6.36403e-11	2.13253e-21	1.33088e-23	6.58365e-26	2.70559e-28	6.657e-12	1.07363e-14	3.26045e-32	499.99	0.0100541	5.83951e-24	3.73861e-05	3.48031e-20	5.54309e-32	0.0170264	0.0012615	7.40187e-05	99.9818	2.09787e-12	5.49676e-17	1.71544e-06	50	1.33276e-27	10000	1000	1000	1.3942e-15	0	100	8.30262e-37	3.44684e-75	0	0	0	0	0	2.76754e-36	0	1	1
3	4.93081	5.11119	95.012	9.9926	10	2.51764e-16	200	1.22289e-19	1.18614e-15	0	1.68226e-09	1.68017e-14	28.2056	87.0712	71.7944	12.9288	500	3915.2	200	200	200	0.0665373	0.00489332	0.000242968	5.51761e-06	3.8558e-06	0.000329073	1.1208e-05	2.55793e-07	4.44691e-09	4.23823e-20	7.54895e-22	1.07207e-23	1.27758e-25	9.69014e-10	1.17706e-12	2.39861e-29	499.985	0.0151215	6.2824e-23	5.62195e-05	1.76718e-19	9.53278e-31	0.0238656	0.00232957	0.000190799	99.9739	6.3807e-12	2.5509e-16	3.66384e-06	50	1.88848e-26	10000	1000	1000	4.72305e-15	0	100	2.14022e-35	2.2903e-72	0	0	0	0	0	7.13409e-35	0	1	1
4	4.90735	5.14805	94.9639	9.99019	10	7.96401e-16	200	4.84726e-19	4.65226e-15	0	2.99561e-09	3.98751e-14	21.6808	80.8426	78.3192	19.1574	500	3902.35	200	200	200	0.127063	0.0187542	0.00189455	7.72563e-05	7.72183e-05	0.000652758	4.5332e-05	2.12201e-06	7.69649e-08	3.30643e-19	1.18674e-20	3.41974e-22	8.39191e-24	2.7373e-08	2.8387e-11	2.17756e-27	499.98	0.0202157	3.34417e-22	7.51471e-05	5.6019e-19	7.18825e-30	0.0299473	0.00346538	0.000351442	99.9665	1.37731e-11	7.44978e-16	6.21009e-06	50	1.19442e-25	10000	1000	1000	1.12373e-14	0	100	2.15024e-34	2.3118e-70	0	0	0	0	0	7.16747e-34	0	1	1
5	4.88368	5.18481	94.8865	9.98779	10	1.94605e-15	200	1.39645e-18	1.326e-14	0	4.68835e-09	7.79768e-14	17.7658	74.74	82.2342	25.26	500	3892.18	200	200	200	0.196337	0.0477582	0.00810487	0.000499233	0.000672077	0.00106167	0.00012428	9.88852e-06	6.24325e-07	1.54985e-18	9.2825e-20	4.49907e-21	1.89328e-22	3.15763e-07	3.00635e-10	6.35435e-26	499.975	0.0253363	1.21201e-21	9.41694e-05	1.37175e-18	3.45007e-29	0.0354182	0.0046043	0.000541918	99.9598	2.4693e-11	1.69127e-15	9.2832e-06	50	4.87579e-25	10000	1000	1000	2.20303e-14	0	100	1.2891e-33	8.30943e-69	0	0	0	0	0	4.297e-33	0	1	1
6	4.85982	5.22148	94.781	9.98542	10	4.03891e-15	200	3.29112e-18	3.09137e-14	0	6.76236e-09	1.3491e-13	15.2525	68.9627	84.7475	31.0373	500	3883.67	200	200	200	0.264562	0.0934107	0.0235833	0.00197658	0.00345752	0.00152103	0.000266231	3.20159e-05	3.14987e-06	5.27475e-18	4.6852e-19	3.39744e-20	2.19029e-21	2.07175e-06	1.90053e-09	9.11466e-25	499.97	0.0304834	3.44732e-21	0.000113287	2.85301e-18	1.24433e-28	0.0403782	0.00571442	0.000750118	99.9536	3.94139e-11	3.27769e-15	1.28245e-05	50	1.51234e-24	10000	1000	1000	3.82113e-14	0	100	5.57517e-33	1.55422e-67	0	0	0	0	0	1.85839e-32	0	1	1
7	4.83578	5.25806	94.6494	9.98307	10	7.48919e-15	200	6.75779e-18	6.27843e-14	0	9.21951e-09	2.14495e-13	13.5111	63.6033	86.4889	36.3967	500	3876.25	200	200	200	0.324432	0.151982	0.0524397	0.0055804	0.0123941	0.00199551	0.000480855	8.06553e-05	1.14859e-05	1.44176e-17	1.75224e-18	1.75517e-19	1.60693e-20	9.22916e-06	8.44216e-09	8.05183e-24	499.964	0.0356566	8.30042e-21	0.0001325	5.30144e-18	3.68471e-28	0.0448992	0.00678025	0.000966888	99.9479	5.8104e-11	5.69886e-15	1.6784e-05	50	3.8863e-24	10000	1000	1000	6.09062e-14	0	100	1.92467e-32	1.85229e-66	0	0	0	0	0	6.4156e-32	0	1	1
8	4.81158	5.29456	94.4939	9.98074	10	1.27875e-14	200	1.25517e-17	1.1533e-13	0	1.20617e-08	3.20575e-13	12.2107	58.6986	87.7893	41.3014	500	3869.63	200	200	200	0.372242	0.216243	0.0957047	0.0123127	0.0341802	0.00245494	0.000766558	0.000169167	3.30973e-05	3.3611e-17	5.27249e-18	6.88567e-19	8.48025e-20	3.10434e-05	2.90327e-08	5.0076e-23	499.959	0.0408561	1.76994e-20	0.00015181	9.07123e-18	9.44477e-28	0.0490361	0.00779477	0.00118578	99.9426	8.08515e-11	9.15575e-15	2.11184e-05	50	8.70946e-24	10000	1000	1000	9.12576e-14	0	100	5.63404e-32	1.58723e-65	0	0	0	0	0	1.87802e-31	0	1	1
9	4.78726	5.33097	94.3166	9.97844	10	2.05013e-14	200	2.16029e-17	1.96298e-13	0	1.52908e-08	4.57006e-13	11.1757	54.2535	88.8243	45.7465	500	3863.61	200	200	200	0.407466	0.278458	0.150397	0.0225547	0.0773699	0.00287718	0.00111134	0.000308645	7.98234e-05	6.94728e-17	1.34597e-17	2.19375e-18	3.48994e-19	8.44836e-05	8.22734e-08	2.38887e-22	499.954	0.0460814	3.44097e-20	0.000171216	1.45741e-17	2.16823e-27	0.0528316	0.00875554	0.00140248	99.9377	1.07683e-10	1.38521e-14	2.57891e-05	50	1.75918e-23	10000	1000	1000	1.30425e-13	0	100	1.45402e-31	1.05717e-64	0	0	0	0	0	4.84675e-31	0	1	1
