Time	[EGFR]	[L_EGFR]	[L_EGFR_dimer]	[SOS]	[L_dpEGFR]	[pSOS]	[SOS_Grb2]	[Grb2]	[Dok]	[pDok]	[Crk]	[FRS2]	[Shc]	[pSOS_Grb2]	[Rap1_GDP]	[MEK]	[MKP3]	[pShc_dpEGFR]	[dpEGFR_c_Cbl]	[B_Raf_Rap1_GTP]	[pShc_dpEGFR_c_Cbl]	[pFRS2_dpEGFR_c_Cbl]	[Shc_dpEGFR]	[c_Cbl]	[RasGAP]	[c_Raf]	[B_Raf]	[ERK]	[PP2A]	[Ras_GDP]	[Rap1GAP]	[C3G]	[NGFR]	[pShc]	[pFRS2_dpEGFR]	[pTrkA_endo]	[MEK_ERK]	[pMEK_ERK]	[FRS2_dpEGFR_c_Cbl_ubiq]	[Crk_C3G_pFRS2_dpEGFR_c_Cbl]	[pShc_dpEGFR_c_Cbl_ubiq]	[Crk_C3G_pFRS2_dpEGFR]	[Grb2_SOS_pShc_dpEGFR_c_Cbl_ubiq]	[Grb2_SOS_pShc_dpEGFR_c_Cbl]	[Shc_dpEGFR_c_Cbl_ubiq]	[dpEGFR_c_Cbl_ubiq]	[proteasome]	[Grb2_SOS_pShc]	[Shc_dpEGFR_c_Cbl]	[Grb2_SOS_pShc_dpEGFR]	[pFRS2]	[FRS2_dpEGFR]	[pDok_RasGAP]	[pMEK]	[FRS2_dpEGFR_c_Cbl]	[pFRS2_dpEGFR_c_Cbl_ubiq]	[Ras_GTP]	[Crk_C3G_pFRS2_dpEGFR_c_Cbl_ubiq]	[c_Raf_Ras_GTP]	[B_Raf_Ras_GTP]	[ppMEK]	[ppERK]	[pTrkA]	[Crk_C3G]	[Rap1_GTP]	[L_NGFR]	[ppMEK_ERK]	[dppERK]	[Shc_pTrkA]	[Shc_pTrkA_endo]	[pShc_pTrkA]	[pFRS2_pTrkA]	[FRS2_pTrkA]	[pShc_pTrkA_endo]	[FRS2_pTrkA_endo]	[pFRS2_pTrkA_endo]	[Crk_C3G_pFRS2_pTrkA_endo]	[Grb2_SOS_pShc_pTrkA]	[Crk_C3G_pFRS2_pTrkA]	[Grb2_SOS_pShc_pTrkA_endo]	[c_Raf_Ras_GTP_MEK]	[c_Raf_Ras_GTP_pMEK]	[c_Raf_Ras_GTP_MEK_ERK]	[c_Raf_Ras_GTP_pMEK_ERK]	[B_Raf_Ras_GTP_MEK]	[B_Raf_Ras_GTP_pMEK]	[B_Raf_Ras_GTP_MEK_ERK]	[B_Raf_Ras_GTP_pMEK_ERK]	[B_Raf_Rap1_GTP_MEK]	[B_Raf_Rap1_GTP_pMEK]	[B_Raf_Rap1_GTP_MEK_ERK]	[B_Raf_Rap1_GTP_pMEK_ERK]	[ppERK_MKP3]	[dppERK_MKP3]	[pro_TrkA]	[NGF]	[EGF]	[pro_EGFR]	[degradation]
0	0.3	0	0	0.1	0	0	0	1	0.3	0	1	1	1	0	0.2	0.68	0.018	0	0	0	0	0	0	0.5	0.1	0.5	0.2	0.26	0.24	0.1	0.012	0.5	0.061894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020631	0	0.001613	0.3	0
1	0.298899	0.00109322	1.86381e-06	0.0970734	5.56752e-07	3.51133e-57	0.00292661	0.997073	0.299997	3.04943e-06	0.717872	1	0.999999	1.06484e-58	0.2	0.440114	0.018	2.20585e-07	1.10036e-08	1.11652e-12	2.04448e-08	1.9553e-09	1.11827e-06	0.5	0.1	0.5	0.2	0.0201138	0.24	0.1	0.012	0.217872	0.061894	8.26305e-09	2.12678e-08	0	0.239886	1.25959e-12	6.15097e-11	1.02189e-10	1.53966e-10	9.03133e-10	5.77386e-13	1.00004e-10	6.15096e-10	1.28468e-10	1.48274e-13	5.48301e-11	6.74067e-08	8.90475e-10	8.05422e-10	1.11827e-07	1.80073e-08	2.31313e-12	6.74067e-09	1.48543e-11	3.47641e-11	6.16109e-13	6.4155e-11	3.48123e-11	3.21489e-24	1.25796e-26	0	0.282128	1.2522e-12	0	1.73037e-24	3.87543e-53	0	0	0	0	0	0	0	0	0	0	0	0	4.03172e-11	1.1243e-22	2.19636e-11	6.11936e-23	9.88025e-12	2.60597e-23	5.38186e-12	1.41832e-23	4.59728e-13	1.23247e-24	2.50427e-13	6.70791e-25	1.56161e-28	2.49796e-55	0.020631	0	0.001613	0.3	0
2	0.297805	0.00213318	8.95232e-06	0.0942885	3.15344e-06	1.21918e-43	0.00571144	0.994288	0.299992	7.43535e-06	0.613289	0.999998	0.999982	7.39927e-45	0.2	0.440065	0.018	4.37152e-06	9.34705e-08	1.41564e-10	7.48228e-07	6.62924e-08	1.07767e-05	0.499998	0.0999999	0.5	0.2	0.0200648	0.24	0.1	0.012	0.113289	0.061894	3.82232e-07	3.96962e-07	0	0.239935	7.23758e-10	2.24225e-09	1.0698e-08	1.24395e-08	4.99364e-08	1.85812e-10	1.48108e-08	2.24224e-08	2.28589e-09	1.29163e-11	1.01548e-08	1.09724e-06	6.9816e-08	3.57866e-08	1.07768e-06	7.76151e-08	1.32745e-09	1.09724e-07	1.12636e-09	3.29262e-09	1.44229e-10	9.55062e-09	5.3978e-09	1.17347e-18	9.81475e-21	0	0.386711	9.76665e-11	0	6.25627e-19	3.55834e-40	0	0	0	0	0	0	0	0	0	0	0	0	1.04384e-08	1.84964e-17	5.69127e-09	1.00846e-17	3.02775e-09	4.82573e-18	1.6508e-09	2.63108e-18	1.1297e-10	1.84255e-19	6.15943e-11	1.00459e-19	2.61863e-22	8.74628e-42	0.020631	0	0.001613	0.3	0
3	0.296718	0.00308236	2.03876e-05	0.0916379	7.82613e-06	5.89358e-38	0.00836097	0.991638	0.299983	1.72715e-05	0.563701	0.999993	0.999932	5.3455e-39	0.2	0.440064	0.018	2.03006e-05	3.30465e-07	1.72174e-09	4.87023e-06	4.02481e-07	3.39028e-05	0.499989	0.0999998	0.5	0.2	0.0200648	0.24	0.0999993	0.012	0.0637013	0.061894	2.96866e-06	1.74746e-06	0	0.239935	2.25176e-08	1.51687e-08	1.17657e-07	1.30788e-07	3.86388e-07	4.26263e-09	2.1237e-07	1.51684e-07	1.20358e-08	1.59858e-10	1.74683e-07	4.59195e-06	7.04836e-07	2.69086e-07	3.39042e-06	2.16122e-07	4.12994e-08	4.5921e-07	1.11425e-08	3.73449e-08	2.58795e-09	1.43432e-07	7.95138e-08	1.22075e-15	1.56873e-17	0	0.436298	9.00582e-10	0	6.43745e-16	2.03255e-34	0	0	0	0	0	0	0	0	0	0	0	0	2.03248e-07	1.20908e-14	1.10816e-07	6.59222e-15	6.40631e-08	3.31498e-15	3.4929e-08	1.80741e-15	1.91571e-09	1.02593e-16	1.0445e-09	5.59365e-17	6.46389e-19	4.36192e-36	0.020631	0	0.001613	0.3	0
4	0.295638	0.00391635	3.44716e-05	0.0891149	1.41265e-05	2.36522e-33	0.0108795	0.989115	0.29996	3.90821e-05	0.537476	0.999983	0.99983	2.88657e-34	0.2	0.440062	0.018	5.41201e-05	8.16992e-07	8.79842e-09	1.62697e-05	1.27637e-06	7.01142e-05	0.499966	0.0999995	0.499997	0.199999	0.0200648	0.24	0.0999954	0.012	0.0374758	0.061894	1.14741e-05	4.47471e-06	0	0.239934	2.26436e-07	5.39727e-08	5.48322e-07	6.20756e-07	1.42495e-06	3.45e-08	1.21817e-06	5.39701e-07	3.94692e-08	9.02867e-10	1.17461e-06	1.15747e-05	3.20246e-06	1.02072e-06	7.01218e-06	5.34934e-07	4.15306e-07	1.15757e-06	5.03383e-08	1.85673e-07	1.72318e-08	8.8572e-07	4.7544e-07	1.31665e-13	2.29667e-15	0	0.462522	3.74775e-09	0	6.87055e-14	5.95948e-30	0	0	0	0	0	0	0	0	0	0	0	0	1.46249e-06	9.30907e-13	7.97387e-07	5.07556e-13	4.83862e-07	2.62696e-13	2.63815e-07	1.43229e-13	1.19788e-08	6.80244e-15	6.53117e-09	3.70888e-15	1.29222e-16	1.7838e-31	0.020631	0	0.001613	0.3	0
5	0.294565	0.00462478	4.94853e-05	0.0867126	2.14646e-05	6.26247e-30	0.0132686	0.986713	0.299918	8.07438e-05	0.522803	0.999966	0.999662	9.6095e-31	0.2	0.440054	0.018	0.000107786	1.63541e-06	2.88475e-08	3.825e-05	2.90255e-06	0.000116476	0.499923	0.0999988	0.499987	0.199995	0.0200648	0.24	0.0999813	0.012	0.022803	0.061894	3.05742e-05	8.67408e-06	0	0.239929	1.25225e-06	1.37358e-07	1.63986e-06	1.93355e-06	3.5923e-06	1.60154e-07	4.29183e-06	1.37344e-06	9.91937e-08	3.33564e-09	4.77368e-06	2.24731e-05	9.52841e-06	2.70686e-06	1.16502e-05	1.22154e-06	2.29675e-06	2.24774e-06	1.51246e-07	5.95687e-07	6.83747e-08	3.40629e-06	1.76894e-06	4.24927e-12	9.38116e-14	0	0.477192	1.03862e-08	0	2.19549e-12	1.26911e-26	0	0	0	0	0	0	0	0	0	0	0	0	6.22333e-06	2.30325e-11	3.39313e-06	1.25579e-11	2.12501e-06	6.63673e-12	1.15861e-06	3.61853e-12	4.49625e-08	1.48188e-13	2.45147e-08	8.0796e-14	6.71476e-15	4.81276e-28	0.020631	0	0.001613	0.3	0
6	0.293497	0.00520926	6.40353e-05	0.084425	2.927e-05	3.15849e-27	0.0155273	0.984425	0.299847	0.00015043	0.514335	0.999942	0.999422	5.83369e-28	0.2	0.44003	0.018	0.000179491	2.83907e-06	7.24033e-08	7.24943e-05	5.4103e-06	0.000169199	0.499854	0.0999974	0.499961	0.199984	0.0200648	0.24	0.0999439	0.012	0.0143345	0.061894	6.46953e-05	1.42213e-05	0	0.239916	4.7873e-06	2.84955e-07	3.75554e-06	4.64685e-06	7.21002e-06	5.2689e-07	1.1186e-05	2.84901e-06	2.09235e-07	9.44495e-09	1.41756e-05	3.72587e-05	2.18244e-05	5.77143e-06	1.69266e-05	2.55834e-06	8.78038e-06	3.72716e-06	3.54996e-07	1.45711e-06	1.98153e-07	9.75671e-06	4.91397e-06	6.50177e-11	1.73982e-12	0	0.485654	2.25697e-08	0	3.32806e-11	5.32471e-24	0	0	0	0	0	0	0	0	0	0	0	0	1.9156e-05	2.82386e-10	1.04444e-05	1.53965e-10	6.68772e-06	8.28048e-11	3.64632e-06	4.51474e-11	1.24287e-07	1.6351e-12	6.77648e-08	8.915e-13	1.51568e-13	2.46983e-25	0.020631	0	0.001613	0.3	0
7	0.292435	0.00567972	7.72004e-05	0.0822458	3.70872e-05	5.14481e-25	0.0176532	0.982246	0.299739	0.000255765	0.509359	0.99991	0.999103	1.10681e-25	0.199999	0.439974	0.018	0.000265072	4.44716e-06	1.52165e-07	0.000118909	8.84697e-06	0.000224699	0.499758	0.0999951	0.499904	0.199962	0.0200648	0.24	0.0998638	0.012	0.00935897	0.061894	0.000117118	2.08741e-05	0	0.239886	1.42503e-05	5.15429e-07	7.21047e-06	9.37663e-06	1.24541e-05	1.3726e-06	2.37735e-05	5.15268e-06	3.89417e-07	2.22876e-08	3.39855e-05	5.55995e-05	4.18729e-05	1.06354e-05	2.24843e-05	4.91991e-06	2.61364e-05	5.56313e-06	7.07035e-07	2.96542e-06	4.6586e-07	2.28584e-05	1.12013e-05	5.9955e-10	1.88827e-11	0	0.490621	4.17916e-08	0	3.04202e-10	7.44783e-22	0	0	0	0	0	0	0	0	0	0	0	0	4.73571e-05	2.15042e-09	2.58203e-05	1.17247e-09	1.68077e-05	6.40619e-10	9.16401e-06	3.49283e-10	2.80712e-07	1.14243e-11	1.53052e-07	6.22885e-12	1.94236e-12	4.08774e-23	0.020631	0	0.001613	0.3	0
8	0.291378	0.00605067	8.85137e-05	0.0801691	4.46074e-05	3.70218e-23	0.0196438	0.980169	0.299588	0.000403282	0.506405	0.99987	0.998705	9.10373e-24	0.199999	0.439863	0.018	0.000359522	6.4477e-06	2.8197e-07	0.000176027	1.31948e-05	0.000280155	0.499632	0.0999912	0.499799	0.199921	0.0200648	0.24	0.0997162	0.012	0.00640498	0.061894	0.000189628	2.83549e-05	0	0.239825	3.54148e-05	8.45326e-07	1.22283e-05	1.66969e-05	1.93649e-05	3.02282e-06	4.36362e-05	8.44927e-06	6.59697e-07	4.60639e-08	6.97904e-05	7.69957e-05	7.07371e-05	1.76674e-05	2.8042e-05	8.76192e-06	6.49543e-05	7.70622e-06	1.25343e-06	5.28734e-06	9.44305e-07	4.62986e-05	2.21446e-05	3.83562e-09	1.39179e-10	0	0.493562	6.917e-08	0	1.93008e-09	4.69116e-20	0	0	0	0	0	0	0	0	0	0	0	0	9.99805e-05	1.16144e-08	5.45121e-05	6.33248e-09	3.5939e-05	3.5115e-09	1.95949e-05	1.91457e-09	5.49838e-07	5.75519e-11	2.99787e-07	3.13789e-11	1.65314e-11	2.98735e-21	0.020631	0	0.001613	0.3	0
9	0.290326	0.0063381	9.78571e-05	0.0781892	5.1656e-05	1.4445e-21	0.021497	0.978189	0.299387	0.00059816	0.50464	0.999823	0.998229	4.00091e-22	0.199998	0.439667	0.018	0.00045813	8.80487e-06	4.75876e-07	0.000241616	1.83914e-05	0.000333657	0.499478	0.0999854	0.499626	0.199853	0.0200648	0.24	0.0994732	0.012	0.0046403	0.061894	0.000282642	3.64055e-05	0	0.239719	7.68185e-05	1.28851e-06	1.89277e-05	2.70862e-05	2.78801e-05	5.86807e-06	7.17728e-05	1.28765e-05	1.03878e-06	8.60955e-08	0.000127524	0.000100882	0.000108646	2.71717e-05	3.341e-05	1.46054e-05	0.000140893	1.01006e-05	2.03809e-06	8.53886e-06	1.71478e-06	8.40135e-05	3.9337e-05	1.86261e-08	7.66206e-10	0	0.495311	1.05444e-07	0	9.29992e-09	1.62569e-18	0	0	0	0	0	0	0	0	0	0	0	0	0.000187458	4.84266e-08	0.000102207	2.64035e-08	6.80708e-05	1.48482e-08	3.71141e-05	8.09563e-09	9.69403e-07	2.26951e-10	5.28545e-07	1.2374e-10	1.03311e-10	1.18302e-19	0.020631	0	0.001613	0.3	0
