Time	[Cold]	[Salt]	[Drought]	[H2O2]	[Heavy Metal]	[Ethylene]	[RLKs]	[LRR]	[CRKs]	[LecRK2]	[ETR1]	[ETR2]	[MAPKKK]	[MAPKKK]	[MAPKKK1]	[CTR1]	[MAPKK]	[MAPKK]	[MAPK]	[MAPK]	[MAPKK1]	[MAPKK2]	[MAPKK3]	[MAPKK4]	[MAPKK5]	[MAPKK6]	[MAPKK7]	[MAPKK9]	[MAPK2]	[MAPK3]	[MAPK4]	[MAPK6]	[WRKY1]	[WRKY1]	[WRKY12]	[WRKY12]	[WRKY8]	[WRKY8]	[WRKY25]	[WRKY25]	[WRKY22]	[WRKY22]	[WRKY29]	[WRKY29]	[WRKY33]	[WRKY33]	[WRKY28]	[WRKY28]	[MYB2]	[MYB2]	[MYB4]	[MYB4]	[MYB44]	[NAC]	[bZIP]	[AP2]	[Response]
0	0.5	0.5	0.5	0.5	0.5	0.5	0.8	0.8	0.8	0.8	0.8	0.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.5	1.5	1.5	1.5	1.5	1.8	2	2.2	2.5
1	0.622988	0.713921	0.680577	0.622988	0.622988	0.780666	0.701997	0.751873	0.718529	0.772734	0.816629	0.816629	0.772918	0.772918	0.922411	0.891292	0.977363	0.977363	1.16341	1.16341	0.979275	1.1071	1.01083	1.01083	1.01083	1.01083	1.01083	1.03063	1.25202	1.19397	1.22093	1.2156	1.23497	1.23497	1.22111	1.22111	1.2467	1.2467	1.23916	1.23916	1.23206	1.23206	1.23206	1.23206	1.22712	1.22712	1.22111	1.22111	1.43362	1.43362	1.43362	1.43362	1.41249	1.45309	1.48016	1.50723	1.37836
2	0.688419	0.736895	0.723516	0.688419	0.688419	0.819595	0.743055	0.752022	0.738643	0.789115	0.84882	0.84882	0.779591	0.779591	0.933689	0.905166	0.967555	0.967555	1.17498	1.17498	0.983297	1.13093	1.02809	1.02809	1.02809	1.02809	1.02809	1.04817	1.28437	1.20933	1.24449	1.23442	1.27297	1.27297	1.24369	1.24369	1.28798	1.28798	1.26822	1.26822	1.25082	1.25082	1.25082	1.25082	1.2559	1.2559	1.24369	1.24369	1.36775	1.36775	1.36775	1.36775	1.33906	1.34455	1.34821	1.35188	1.32576
3	0.736053	0.762038	0.755771	0.736053	0.736053	0.844859	0.777961	0.770556	0.76429	0.811624	0.873234	0.873234	0.801795	0.801795	0.950514	0.923956	0.975347	0.975347	1.16672	1.16672	0.995472	1.13641	1.04149	1.04149	1.04149	1.04149	1.04149	1.05867	1.28279	1.20708	1.24275	1.23047	1.27465	1.27465	1.24069	1.24069	1.2936	1.2936	1.26924	1.26924	1.24761	1.24761	1.24761	1.24761	1.25457	1.25457	1.24069	1.24069	1.31958	1.31958	1.31958	1.31958	1.29969	1.30044	1.30093	1.30143	1.29736
4	0.774006	0.789225	0.785536	0.774006	0.774006	0.867339	0.808605	0.795025	0.791335	0.835134	0.894224	0.894224	0.826297	0.826297	0.966056	0.94093	0.987292	0.987292	1.15976	1.15976	1.00769	1.13665	1.05179	1.05179	1.05179	1.05179	1.05179	1.06542	1.27209	1.20009	1.23401	1.22129	1.26534	1.26534	1.23113	1.23113	1.28571	1.28571	1.26042	1.26042	1.23791	1.23791	1.23791	1.23791	1.24492	1.24492	1.23113	1.23113	1.28742	1.28742	1.28742	1.28742	1.27506	1.27516	1.27523	1.2753	1.27671
5	0.806104	0.816081	0.813479	0.806104	0.806104	0.888093	0.835996	0.820549	0.817948	0.858034	0.913106	0.913106	0.850303	0.850303	0.979779	0.956129	0.999102	0.999102	1.15456	1.15456	1.01846	1.13517	1.05991	1.05991	1.05991	1.05991	1.05991	1.07036	1.25895	1.19216	1.2236	1.2113	1.25298	1.25298	1.22037	1.22037	1.27311	1.27311	1.24859	1.24859	1.22678	1.22678	1.22678	1.22678	1.23339	1.23339	1.22037	1.22037	1.26463	1.26463	1.26463	1.26463	1.25669	1.25671	1.25672	1.25672	1.25955
6	0.834218	0.841515	0.839458	0.834218	0.834218	0.907295	0.860707	0.845227	0.84317	0.879657	0.930336	0.930336	0.872901	0.872901	0.991922	0.969858	1.00983	1.00983	1.15029	1.15029	1.02777	1.13314	1.06643	1.06643	1.06643	1.06643	1.06643	1.07432	1.24564	1.18441	1.21322	1.20171	1.24024	1.24024	1.20994	1.20994	1.2593	1.2593	1.2363	1.2363	1.21585	1.21585	1.21585	1.21585	1.22197	1.22197	1.20994	1.20994	1.24707	1.24707	1.24707	1.24707	1.2415	1.2415	1.2415	1.2415	1.24459
7	0.859312	0.865132	0.863395	0.859312	0.859312	0.925002	0.883099	0.868348	0.866611	0.899754	0.946114	0.946114	0.893812	0.893812	1.00275	0.982322	1.0194	1.0194	1.14652	1.14652	1.03586	1.13098	1.07173	1.07173	1.07173	1.07173	1.07173	1.07765	1.23298	1.17719	1.20343	1.19284	1.22807	1.22807	1.20027	1.20027	1.24571	1.24571	1.2245	1.2245	1.20565	1.20565	1.20565	1.20565	1.21127	1.21127	1.20027	1.20027	1.2326	1.2326	1.2326	1.2326	1.2283	1.2283	1.2283	1.2283	1.23129
8	0.88193	0.886846	0.885326	0.88193	0.88193	0.941271	0.903434	0.889698	0.888179	0.91827	0.960559	0.960559	0.913003	0.913003	1.01245	0.993655	1.0279	1.0279	1.14306	1.14306	1.04293	1.12886	1.07609	1.07609	1.07609	1.07609	1.07609	1.08053	1.22123	1.17057	1.1944	1.18473	1.21678	1.21678	1.19144	1.19144	1.23293	1.23293	1.21354	1.21354	1.19632	1.19632	1.19632	1.19632	1.20145	1.20145	1.19144	1.19144	1.22014	1.22014	1.22014	1.22014	1.21659	1.21659	1.21659	1.21659	1.21937
9	0.902413	0.90671	0.905356	0.902413	0.902413	0.956174	0.921916	0.909272	0.907917	0.935244	0.973762	0.973762	0.930541	0.930541	1.02119	1.00396	1.03548	1.03548	1.13986	1.13986	1.04917	1.12684	1.07971	1.07971	1.07971	1.07971	1.07971	1.08305	1.21048	1.16454	1.18616	1.17736	1.20644	1.20644	1.18342	1.18342	1.22114	1.22114	1.2035	1.2035	1.18783	1.18783	1.18783	1.18783	1.19251	1.19251	1.18342	1.18342	1.20916	1.20916	1.20916	1.20916	1.2061	1.2061	1.2061	1.2061	1.20863
10	0.921006	0.924835	0.923615	0.921006	0.921006	0.969792	0.938721	0.927149	0.92593	0.950755	0.985812	0.985812	0.946531	0.946531	1.02906	1.01333	1.04225	1.04225	1.13689	1.13689	1.0547	1.12496	1.08276	1.08276	1.08276	1.08276	1.08276	1.08528	1.2007	1.15906	1.17865	1.17068	1.19703	1.19703	1.17615	1.17615	1.21037	1.21037	1.19436	1.19436	1.18013	1.18013	1.18013	1.18013	1.18439	1.18439	1.17615	1.17615	1.19935	1.19935	1.19935	1.19935	1.19665	1.19665	1.19665	1.19665	1.19895
11	0.9379	0.941347	0.940243	0.9379	0.9379	0.982212	0.954	0.943446	0.942342	0.964902	0.996792	0.996792	0.961091	0.961091	1.03618	1.02185	1.04832	1.04832	1.13414	1.13414	1.05963	1.12322	1.08534	1.08534	1.08534	1.08534	1.08534	1.08726	1.19181	1.15408	1.17184	1.16461	1.18848	1.18848	1.16956	1.16956	1.20058	1.20058	1.18607	1.18607	1.17316	1.17316	1.17316	1.17316	1.17703	1.17703	1.16956	1.16956	1.19052	1.19052	1.19052	1.19052	1.18811	1.18811	1.18811	1.18811	1.19019
12	0.953256	0.956375	0.955373	0.953256	0.953256	0.993524	0.967891	0.958282	0.957281	0.977787	1.00679	1.00679	0.974337	0.974337	1.04262	1.02958	1.05376	1.05376	1.1316	1.1316	1.06403	1.12162	1.08755	1.08755	1.08755	1.08755	1.08755	1.08903	1.18376	1.14957	1.16566	1.15911	1.18074	1.18074	1.16359	1.16359	1.1917	1.1917	1.17855	1.17855	1.16685	1.16685	1.16685	1.16685	1.17036	1.17036	1.16359	1.16359	1.18256	1.18256	1.18256	1.18256	1.18039	1.18039	1.18039	1.18039	1.18227
13	0.967215	0.970045	0.969135	0.967215	0.967215	1.00382	0.980518	0.97178	0.970869	0.98951	1.01587	1.01587	0.986381	0.986381	1.04845	1.03659	1.05865	1.05865	1.12927	1.12927	1.06798	1.12015	1.08947	1.08947	1.08947	1.08947	1.08947	1.09061	1.17645	1.14547	1.16006	1.15412	1.17372	1.17372	1.15818	1.15818	1.18365	1.18365	1.17173	1.17173	1.16113	1.16113	1.16113	1.16113	1.16432	1.16432	1.15818	1.15818	1.17536	1.17536	1.17536	1.17536	1.1734	1.1734	1.1734	1.1734	1.1751
14	0.979902	0.982474	0.981646	0.979902	0.979902	1.01317	0.991993	0.984052	0.983224	1.00017	1.02413	1.02413	0.997327	0.997327	1.05373	1.04296	1.06306	1.06306	1.12712	1.12712	1.07153	1.11881	1.09113	1.09113	1.09113	1.09113	1.09113	1.09202	1.16984	1.14176	1.15498	1.1496	1.16736	1.16736	1.15327	1.15327	1.17635	1.17635	1.16555	1.16555	1.15594	1.15594	1.15594	1.15594	1.15884	1.15884	1.15327	1.15327	1.16884	1.16884	1.16884	1.16884	1.16707	1.16707	1.16707	1.16707	1.16861
15	0.991432	0.993771	0.993018	0.991432	0.991432	1.02168	1.00242	0.995207	0.994453	1.00986	1.03163	1.03163	1.00727	1.00727	1.05852	1.04874	1.06704	1.06704	1.12515	1.12515	1.07472	1.11758	1.09259	1.09259	1.09259	1.09259	1.09259	1.09329	1.16384	1.13838	1.15037	1.1455	1.16159	1.16159	1.14882	1.14882	1.16974	1.16974	1.15995	1.15995	1.15124	1.15124	1.15124	1.15124	1.15387	1.15387	1.14882	1.14882	1.16294	1.16294	1.16294	1.16294	1.16133	1.16133	1.16133	1.16133	1.16272
16	1.00191	1.00404	1.00335	1.00191	1.00191	1.0294	1.01189	1.00534	1.00466	1.01866	1.03845	1.03845	1.01631	1.01631	1.06285	1.05398	1.07063	1.07063	1.12335	1.12335	1.0776	1.11646	1.09387	1.09387	1.09387	1.09387	1.09387	1.09443	1.1584	1.13532	1.14619	1.14177	1.15636	1.15636	1.14479	1.14479	1.16375	1.16375	1.15488	1.15488	1.14698	1.14698	1.14698	1.14698	1.14936	1.14936	1.14479	1.14479	1.15758	1.15758	1.15758	1.15758	1.15613	1.15613	1.15613	1.15613	1.15739
17	1.01143	1.01336	1.01274	1.01143	1.01143	1.03641	1.0205	1.01455	1.01393	1.02665	1.04463	1.04463	1.02451	1.02451	1.06678	1.05873	1.07387	1.07387	1.12171	1.12171	1.0802	1.11543	1.09501	1.09501	1.09501	1.09501	1.09501	1.09546	1.15347	1.13255	1.1424	1.13839	1.15162	1.15162	1.14113	1.14113	1.15832	1.15832	1.15028	1.15028	1.14312	1.14312	1.14312	1.14312	1.14528	1.14528	1.14113	1.14113	1.15273	1.15273	1.15273	1.15273	1.15141	1.15141	1.15141	1.15141	1.15255
