Time	[Fungal pathogen]	[Bacterial pathogen]	[LysM]	[PRRs]	[FLS2]	[LRR]	[MAPKKK]	[MAPKKK]	[MAPKKK1]	[MAPKKK18]	[MAPKKK19]	[MAPKKK20]	[EDR1]	[MAPKK]	[MAPKK]	[MAPKK2]	[MAPKK4]	[MAPKK5]	[MAPKK9]	[MAPK]	[MAPK]	[MAPK2]	[MAPK3]	[MAPK4]	[MAPK6]	[WRKY1]	[WRKY1]	[MYB2]	[MYB2]	[WRKY33]	[WRKY33]	[WRKY6]	[WRKY6]	[MYB4]	[MYB4]	[WRKY25]	[WRKY25]	[WRKY12]	[WRKY12]	[WRKY22]	[WRKY22]	[WRKY28]	[WRKY28]	[WRKY29]	[WRKY29]	[MYB44]	[NAC]	[bZIP]	[AP2]	[Response]	[SIMK]	[SAMK]
0	0.5	0.5	0.8	0.8	0.8	0.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.2	1.2	1.5	1.5	1.2	1.2	1.2	1.2	1.5	1.5	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.5	1.8	2	2.2	2.5	1	1
1	0.780605	0.799894	0.792095	0.78327	0.845328	0.86444	0.841411	0.841411	1.01585	0.977407	0.931676	0.977407	0.909776	1.00143	1.00143	1.09465	1.11948	1.10861	0.993503	1.14758	1.14758	1.16323	1.20032	1.20573	1.21733	1.20528	1.20528	1.40482	1.40482	1.21899	1.21899	1.23482	1.23482	1.35381	1.35381	1.23482	1.23482	1.23307	1.23307	1.22585	1.22585	1.22585	1.22585	1.22585	1.22585	1.38312	1.42372	1.45079	1.47785	1.36494	1.18688	1.18688
2	0.838105	0.865019	0.836556	0.844255	0.880953	0.919832	0.880577	0.880577	1.05998	0.963613	0.944531	0.963613	0.91221	1.02279	1.02279	1.14103	1.15898	1.14965	1.01382	1.1784	1.1784	1.19455	1.224	1.22965	1.23079	1.23027	1.23027	1.33585	1.33585	1.24012	1.24012	1.25642	1.25642	1.30147	1.30147	1.25642	1.25642	1.25343	1.25343	1.24512	1.24512	1.24512	1.24512	1.24512	1.24512	1.30773	1.31323	1.31689	1.32055	1.30427	1.24108	1.24108
3	0.881551	0.908488	0.879632	0.889247	0.915826	0.958775	0.917968	0.917968	1.083	0.969272	0.969274	0.969272	0.935405	1.04334	1.04334	1.15774	1.17123	1.16331	1.03631	1.18472	1.18472	1.20175	1.22532	1.23162	1.22801	1.23226	1.23226	1.29191	1.29191	1.23876	1.23876	1.25522	1.25522	1.27055	1.27055	1.25522	1.25522	1.25152	1.25152	1.24229	1.24229	1.24229	1.24229	1.24229	1.24229	1.27349	1.27423	1.27473	1.27522	1.2752	1.2489	1.2489
4	0.918738	0.943317	0.917058	0.926108	0.947525	0.988028	0.950087	0.950087	1.0967	0.984246	0.993627	0.984246	0.961611	1.05986	1.05986	1.16355	1.17425	1.16734	1.055	1.18513	1.18513	1.20099	1.22017	1.22661	1.22124	1.2273	1.2273	1.26512	1.26512	1.23167	1.23167	1.24724	1.24724	1.25069	1.25069	1.24724	1.24724	1.24315	1.24315	1.23414	1.23414	1.23414	1.23414	1.23414	1.23414	1.2544	1.2545	1.25457	1.25463	1.2571	1.2438	1.2438
5	0.95077	0.972505	0.949305	0.957376	0.975342	1.01167	0.977753	0.977753	1.10633	1.00232	1.0153	1.00232	0.986309	1.07339	1.07339	1.16534	1.17416	1.1681	1.07006	1.18355	1.18355	1.19764	1.21364	1.2198	1.21406	1.22053	1.22053	1.24749	1.24749	1.22362	1.22362	1.23783	1.23783	1.23667	1.23667	1.23783	1.23783	1.23369	1.23369	1.22542	1.22542	1.22542	1.22542	1.22542	1.22542	1.24103	1.24104	1.24105	1.24106	1.24362	1.23544	1.23544
6	0.978399	0.997406	0.977122	0.984202	0.999525	1.03155	1.00167	1.00167	1.11389	1.0205	1.0342	1.0205	1.00846	1.08482	1.08482	1.16564	1.1731	1.16778	1.08244	1.18133	1.18133	1.19368	1.20727	1.21295	1.20743	1.21364	1.21364	1.23464	1.23464	1.21598	1.21598	1.22871	1.22871	1.22591	1.22591	1.22871	1.22871	1.22473	1.22473	1.21736	1.21736	1.21736	1.21736	1.21736	1.21736	1.23036	1.23036	1.23036	1.23036	1.23264	1.22678	1.22678
7	1.00228	1.01884	1.00117	1.00734	1.02052	1.04855	1.02241	1.02241	1.12018	1.03751	1.05062	1.03751	1.028	1.09467	1.09467	1.16542	1.17182	1.16716	1.09287	1.17903	1.17903	1.18981	1.20149	1.2066	1.20155	1.20724	1.20724	1.22452	1.22452	1.2091	1.2091	1.22038	1.22038	1.21717	1.21717	1.22038	1.22038	1.2167	1.2167	1.21021	1.21021	1.21021	1.21021	1.21021	1.21021	1.22136	1.22136	1.22136	1.22136	1.22334	1.21871	1.21871
8	1.02296	1.03737	1.02199	1.02737	1.03875	1.06323	1.04041	1.04041	1.12556	1.05292	1.0649	1.05292	1.04511	1.10323	1.10323	1.16504	1.17056	1.1665	1.1018	1.17687	1.17687	1.18628	1.19638	1.20092	1.19641	1.20149	1.20149	1.21613	1.21613	1.20302	1.20302	1.21295	1.21295	1.20981	1.20981	1.21295	1.21295	1.20963	1.20963	1.20395	1.20395	1.20395	1.20395	1.20395	1.20395	1.21362	1.21362	1.21362	1.21362	1.21533	1.21149	1.21149
9	1.0409	1.05344	1.04006	1.04474	1.0546	1.07595	1.05605	1.05605	1.13021	1.06661	1.07734	1.06661	1.06006	1.1107	1.1107	1.16463	1.16943	1.16588	1.10952	1.17493	1.17493	1.18314	1.1919	1.1959	1.19191	1.1964	1.1964	1.20899	1.20899	1.1977	1.1977	1.2064	1.2064	1.20351	1.20351	1.2064	1.2064	1.20344	1.20344	1.19849	1.19849	1.19849	1.19849	1.19849	1.19849	1.2069	1.2069	1.2069	1.2069	1.20839	1.20512	1.20512
