Time	[C16AcylCarCYT]	[C16AcylCarMAT]	[C16AcylCoAMAT]	[C16EnoylCoAMAT]	[C16HydroxyacylCoAMAT]	[C16KetoacylCoAMAT]	[C14AcylCarCYT]	[C14AcylCarMAT]	[C14AcylCoAMAT]	[C14EnoylCoAMAT]	[C14HydroxyacylCoAMAT]	[C14KetoacylCoAMAT]	[C12AcylCarCYT]	[C12AcylCarMAT]	[C12AcylCoAMAT]	[C12EnoylCoAMAT]	[C12HydroxyacylCoAMAT]	[C12KetoacylCoAMAT]	[C10AcylCarCYT]	[C10AcylCarMAT]	[C10AcylCoAMAT]	[C10EnoylCoAMAT]	[C10HydroxyacylCoAMAT]	[C10KetoacylCoAMAT]	[C8AcylCarCYT]	[C8AcylCarMAT]	[C8AcylCoAMAT]	[C8EnoylCoAMAT]	[C8HydroxyacylCoAMAT]	[C8KetoacylCoAMAT]	[C6AcylCarCYT]	[C6AcylCarMAT]	[C6AcylCoAMAT]	[C6EnoylCoAMAT]	[C6HydroxyacylCoAMAT]	[C6KetoacylCoAMAT]	[C4AcylCarCYT]	[C4AcylCarMAT]	[C4AcylCoAMAT]	[C4EnoylCoAMAT]	[C4HydroxyacylCoAMAT]	[C4AcetoacylCoAMAT]	[AcetylCoAMAT]	[FADHMAT]	[NADHMAT]	[CoAMAT]	[C16AcylCoACYT]	[CarCYT]	[CoACYT]	[MalCoACYT]	[CarMAT]	[FADtMAT]	[NADtMAT]	[CoAMATt]
0	0.171	0	0	0	0	0	0.023	0	0	0	0	0	0.11	0	0	0	0	0	0.019	0	0	0	0	0	0.052	0	0	0	0	0	0.017	0	0	0	0	0	0.008	0	0	0	0	0	30	0.46	16	4970	26.8	400	140	0	950	0.77	250	5000
1	0.367113	0.414169	1.10283	0.0416818	0.130017	0.000412624	0.0363838	0.14943	2.11842	0.0398768	0.115706	0.000366848	0.0941134	0.219808	2.46529	0.0442787	0.134896	0.000426351	0.039665	0.169783	2.46059	0.0393934	0.12065	0.000380233	0.0533873	0.144566	1.98088	0.0793551	0.245876	0.00077443	0.0355984	0.14731	4.49089	5.29454	16.5001	0.0519885	0.0109392	0.0367352	7.68048	18.0542	56.4211	0.177815	30	0.46	16	4850.21	22.3852	400	140	0	950	0.77	250	5000
2	0.485485	0.584793	1.7469	0.061979	0.193597	0.000614404	0.0628602	0.236386	3.30123	0.0580352	0.168334	0.000533704	0.101111	0.279341	3.44883	0.0587111	0.178833	0.00056521	0.0671588	0.242574	3.3738	0.0522426	0.159974	0.000504147	0.0617537	0.176493	2.61381	0.10199	0.315983	0.000995208	0.0584618	0.208597	5.76346	6.49428	20.2382	0.0637645	0.0149419	0.0478973	9.67581	22.2693	69.5932	0.219321	30	0.46	16	4819.85	18.6977	400	140	0	950	0.77	250	5000
3	0.554584	0.699411	2.2259	0.076986	0.240647	0.000763722	0.0939264	0.314569	4.23913	0.0724446	0.210037	0.00066592	0.118278	0.339016	4.27566	0.0710307	0.216319	0.000683678	0.0960422	0.312856	4.20266	0.0636902	0.194994	0.000614499	0.0733548	0.211428	3.20192	0.122357	0.379051	0.00119382	0.0832578	0.272272	6.94339	7.57678	23.6108	0.0743887	0.0194513	0.0599527	11.4913	26.0291	81.3422	0.256342	30	0.46	16	4792.88	15.6177	400	140	0	950	0.77	250	5000
4	0.589791	0.767948	2.5269	0.0872563	0.272884	0.000866032	0.124207	0.378799	4.90938	0.083614	0.242262	0.000768089	0.139385	0.394577	4.94641	0.0815779	0.248377	0.000784992	0.124945	0.38042	4.96318	0.0739178	0.226257	0.000713005	0.0870186	0.248779	3.76357	0.140752	0.435991	0.00137312	0.109475	0.338328	8.0663	8.57175	26.7101	0.0841512	0.0243985	0.0729234	13.1942	29.4793	92.123	0.290308	30	0.46	16	4768.47	13.045	400	140	0	950	0.77	250	5000
5	0.600269	0.798639	2.66537	0.0933771	0.29214	0.000927144	0.15051	0.42659	5.31966	0.0918128	0.265795	0.000842696	0.160832	0.442827	5.45696	0.090377	0.275082	0.000869379	0.153108	0.444359	5.65217	0.0829051	0.253699	0.00079946	0.102061	0.287791	4.29956	0.157138	0.486688	0.00153274	0.13684	0.406465	9.13626	9.48405	29.5512	0.0930989	0.0297535	0.0868047	14.7959	32.6468	102.02	0.321485	30	0.46	16	4746.46	10.8961	400	140	0	950	0.77	250	5000
6	0.592142	0.798571	2.66711	0.095907	0.300158	0.000952589	0.171067	0.457057	5.49083	0.097208	0.281136	0.000891329	0.180388	0.481365	5.80289	0.0973529	0.296208	0.000936128	0.179943	0.503477	6.2596	0.0905759	0.277088	0.000873134	0.117999	0.327694	4.80505	0.171394	0.530767	0.00167149	0.165147	0.476283	10.1482	10.3118	32.1283	0.101214	0.0355016	0.101591	16.2922	35.5284	111.022	0.349839	30	0.46	16	4726.85	9.10117	400	140	0	950	0.77	250	5000
7	0.569958	0.77409	2.56106	0.0953839	0.298615	0.000947693	0.185044	0.470461	5.45138	0.099943	0.288725	0.000915383	0.196597	0.508473	5.98271	0.102409	0.311467	0.000984331	0.204886	0.556415	6.77282	0.0968401	0.296152	0.000933169	0.134437	0.367696	5.2728	0.183383	0.567805	0.00178805	0.194201	0.547298	11.0934	11.0512	34.4296	0.108458	0.0416353	0.117277	17.6738	38.1119	119.092	0.375251	30	0.46	16	4709.68	7.60193	400	140	0	950	0.77	250	5000
8	0.537388	0.731012	2.37614	0.0923345	0.289156	0.000917673	0.19225	0.467959	5.23506	0.100177	0.289052	0.000916413	0.208494	0.523064	5.99959	0.105458	0.320602	0.00101318	0.227355	0.601704	7.17818	0.101605	0.310612	0.00097869	0.15101	0.406947	5.69398	0.192967	0.597378	0.00188109	0.223791	0.618921	11.9614	11.6974	36.44	0.114785	0.0481496	0.133855	18.9288	40.3814	126.181	0.397566	30	0.46	16	4695.01	6.34967	400	140	0	950	0.77	250	5000
9	0.497548	0.674677	2.13947	0.0872762	0.273396	0.000867657	0.192964	0.451425	4.87915	0.0981081	0.282717	0.00089632	0.215479	0.524693	5.8624	0.106438	0.323434	0.0010221	0.24674	0.637812	7.46206	0.10478	0.320198	0.00100884	0.167342	0.444501	6.05836	0.200009	0.619069	0.00194929	0.253665	0.690423	12.7396	12.245	38.1426	0.120141	0.0550392	0.151307	20.0431	42.3191	132.233	0.416609	30	0.46	16	4682.92	5.30369	400	140	0	950	0.77	250	5000
10	0.45313	0.609918	1.87516	0.0807127	0.252908	0.000802636	0.187823	0.423288	4.42263	0.0939801	0.270457	0.000857444	0.217268	0.513573	5.58623	0.105325	0.319904	0.00101091	0.262413	0.663232	7.61206	0.10628	0.324656	0.00102284	0.183032	0.479291	6.35446	0.204376	0.632472	0.00199139	0.283523	0.7609	13.4136	12.6875	39.5177	0.124464	0.0622961	0.169602	21.0003	43.9049	137.184	0.432182	30	0.46	16	4673.49	4.43002	400	140	0	950	0.77	250	5000
11	0.406454	0.540982	1.60352	0.0731235	0.229192	0.000727371	0.177729	0.386354	3.90421	0.0880915	0.25316	0.000802601	0.213869	0.490602	5.1924	0.102154	0.310125	0.000979982	0.273757	0.676599	7.61847	0.106034	0.32378	0.00102003	0.197635	0.510117	6.56986	0.205946	0.637215	0.00200621	0.312993	0.829241	13.967	13.0178	40.543	0.127685	0.069906	0.188683	21.7817	45.1162	140.965	0.444065	30	0.46	16	4666.82	3.70026	400	140	0	950	0.77	250	5000
12	0.359476	0.471459	1.34051	0.0649529	0.203638	0.000646272	0.163766	0.343617	3.36024	0.080792	0.23186	0.000735064	0.205587	0.457352	4.70779	0.0970306	0.294435	0.000930376	0.280215	0.676853	7.47616	0.103999	0.317444	0.00100002	0.210657	0.535656	6.6918	0.204619	0.632994	0.00199281	0.34162	0.894096	14.3819	13.228	41.1942	0.129728	0.077846	0.208466	22.3665	45.9286	143.499	0.45202	30	0.46	16	4663.01	3.09072	400	140	0	950	0.77	250	5000
13	0.313782	0.404225	1.0977	0.0565984	0.177491	0.000563291	0.147119	0.298041	2.82272	0.0724756	0.207705	0.000658482	0.193001	0.415993	4.16338	0.0901566	0.273453	0.00086405	0.281352	0.663433	7.18651	0.100176	0.30566	0.000962848	0.221557	0.554512	6.70833	0.200336	0.619637	0.00195066	0.368857	0.953869	14.6394	13.31	41.4461	0.130512	0.0860802	0.228822	22.7325	46.3165	144.707	0.455797	30	0.46	16	4662.17	2.58158	400	140	0	950	0.77	250	5000
14	0.270593	0.341427	0.882335	0.0484003	0.151818	0.000481814	0.128982	0.252349	2.31752	0.0635639	0.181922	0.000576735	0.176942	0.369145	3.59189	0.0818345	0.248106	0.000783937	0.276928	0.636483	6.75919	0.0946341	0.288651	0.000909223	0.22977	0.565301	6.60977	0.193111	0.597192	0.0018799	0.394056	1.00673	14.721	13.256	41.2746	0.129964	0.0945567	0.249576	22.8571	46.2553	144.512	0.455155	30	0.46	16	4664.42	2.15632	400	140	0	950	0.77	250	5000
15	0.230774	0.284512	0.697931	0.0406346	0.127486	0.000404594	0.11047	0.208833	1.86326	0.0544838	0.155737	0.000493719	0.158426	0.319648	3.02493	0.0724684	0.219625	0.000693927	0.266979	0.597008	6.21318	0.0875345	0.266911	0.000840708	0.234735	0.566797	6.39079	0.18306	0.566028	0.00178172	0.41648	1.05065	14.6104	13.0599	40.661	0.128024	0.103204	0.270494	22.7198	45.7242	142.85	0.449891	30	0.46	16	4669.83	1.80111	400	140	0	950	0.77	250	5000
16	0.194868	0.23428	0.544878	0.0335082	0.105146	0.000333695	0.0925452	0.169214	1.47082	0.0456376	0.130301	0.000413077	0.13857	0.270275	2.48986	0.0625409	0.189475	0.000598652	0.251876	0.546933	5.57637	0.0791448	0.241263	0.000759893	0.235959	0.558107	6.05247	0.170439	0.52694	0.00165861	0.435317	1.08357	14.2958	12.7186	39.5954	0.124662	0.111926	0.29128	22.3047	44.71	139.678	0.439879	30	0.46	16	4678.41	1.50441	400	140	0	950	0.77	250	5000
17	0.163125	0.190987	0.421277	0.0271582	0.0852316	0.000270493	0.0759516	0.134565	1.14382	0.0373708	0.106593	0.000337915	0.118477	0.22344	2.00722	0.0525694	0.159222	0.000503059	0.232344	0.489013	4.88338	0.0698401	0.212853	0.00067039	0.233079	0.538883	5.60409	0.155662	0.481207	0.00151462	0.44973	1.10348	13.7729	12.2333	38.0825	0.119892	0.120606	0.311581	21.6037	43.2125	134.998	0.425117	30	0.46	16	4690.1	1.25659	400	140	0	950	0.77	250	5000
18	0.135557	0.154447	0.323758	0.0216549	0.0679657	0.000215698	0.0611878	0.105336	0.879874	0.0299444	0.0853437	0.000270551	0.0991312	0.180962	1.58932	0.0430454	0.130352	0.000411839	0.209433	0.426559	4.1718	0.0600794	0.183078	0.000576598	0.225943	0.509489	5.06378	0.139297	0.430592	0.00135528	0.458915	1.1087	13.0469	11.6113	36.1448	0.113787	0.1291	0.330998	20.62	41.2483	128.86	0.40577	30	0.46	16	4704.73	1.04959	400	140	0	950	0.77	250	5000
19	0.111989	0.124166	0.248243	0.0170094	0.0533864	0.000169428	0.0485072	0.081447	0.672422	0.0235177	0.0669933	0.000212377	0.0813019	0.143948	1.24028	0.0343728	0.104081	0.000328833	0.184414	0.36304	3.47753	0.050356	0.153438	0.000483243	0.21467	0.471085	4.45771	0.122036	0.377227	0.00118731	0.462189	1.09811	12.1348	10.8668	33.8261	0.106484	0.137249	0.349106	19.3704	38.8542	121.38	0.382204	30	0.46	16	4721.98	0.876695	400	140	0	950	0.77	250	5000
20	0.0921129	0.0994532	0.190563	0.013184	0.0413781	0.000131318	0.0379487	0.0624385	0.512719	0.0181469	0.0516852	0.000163848	0.0654962	0.112804	0.957489	0.0268218	0.0812194	0.000256605	0.158639	0.301639	2.8304	0.041134	0.125342	0.000394757	0.199686	0.425583	3.81749	0.104625	0.323418	0.00101796	0.459079	1.07137	11.0651	10.0203	31.1909	0.0981862	0.144883	0.36549	17.8869	36.0889	112.741	0.354996	30	0.46	16	4741.42	0.732278	400	140	0	950	0.77	250	5000
21	0.0755413	0.0795325	0.146879	0.0101059	0.0317143	0.000100649	0.0293896	0.047637	0.391537	0.0137992	0.039312	0.000124623	0.0519547	0.087367	0.733907	0.0205137	0.0621288	0.000196292	0.133377	0.244894	2.25143	0.0327861	0.0999192	0.000314695	0.181706	0.375449	3.1765	0.0877868	0.271392	0.000854232	0.449411	1.02907	9.87777	9.0986	28.3225	0.0891563	0.151834	0.37978	16.2164	33.0315	103.191	0.324923	30	0.46	16	4762.48	0.61165	400	140	0	950	0.77	250	5000
22	0.0618512	0.0636222	0.113915	0.00768116	0.0241014	7.64888e-05	0.0226048	0.0362987	0.300352	0.0103781	0.0295871	9.37947e-05	0.0406905	0.0670914	0.560329	0.015436	0.0467655	0.000147756	0.10968	0.194505	1.75206	0.0255536	0.0778985	0.000245349	0.161668	0.323412	2.56587	0.0721381	0.223049	0.000702106	0.433371	0.972808	8.62148	8.133	25.3179	0.0796998	0.157954	0.391694	14.4194	29.7787	93.0308	0.292937	30	0.46	16	4784.5	0.510893	400	140	0	950	0.77	250	5000
23	0.0506201	0.0509933	0.0890234	0.00580723	0.018218	5.7817e-05	0.0173223	0.0277104	0.231941	0.007751	0.0221257	7.01415e-05	0.0315505	0.0512345	0.427237	0.0114787	0.0347936	0.000109934	0.0883005	0.15132	1.33523	0.0195357	0.0595774	0.000187655	0.140626	0.272123	2.01106	0.0581332	0.179787	0.000565973	0.411531	0.905075	7.35039	7.15718	22.282	0.0701461	0.163124	0.401074	12.5665	26.44	82.6029	0.260114	30	0.46	16	4806.76	0.426734	400	140	0	950	0.77	250	5000
24	0.0414507	0.041002	0.0701508	0.00438291	0.0137466	4.36266e-05	0.0132648	0.0212476	0.180544	0.0057742	0.0165136	5.23511e-05	0.0242836	0.0390064	0.325936	0.00847738	0.0257136	8.12488e-05	0.0696711	0.115464	0.99749	0.0147068	0.0448757	0.000141359	0.119624	0.223861	1.5296	0.0460351	0.142414	0.000448371	0.384827	0.829082	6.11937	6.20467	19.3188	0.0608225	0.167276	0.407906	10.7335	23.1302	72.2654	0.227579	30	0.46	16	4828.51	0.356438	400	140	0	950	0.77	250	5000
25	0.0339856	0.033102	0.0557449	0.00331503	0.0103948	3.29892e-05	0.0101775	0.0163955	0.141742	0.00431007	0.0123569	3.91741e-05	0.0185975	0.0296662	0.249078	0.00625007	0.0189739	5.99564e-05	0.0539383	0.0865325	0.731268	0.0109521	0.033442	0.000105353	0.0995902	0.180315	1.13015	0.0359191	0.11116	0.000350022	0.354482	0.748405	4.97808	5.30563	16.5221	0.0520233	0.170393	0.412317	8.99385	19.9594	62.3622	0.196414	30	0.46	16	4849.07	0.297722	400	140	0	950	0.77	250	5000
