Time	[_2PGA_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[Fru6P_g]	[Pi_g]	[O2_c]	[Gly_e]	[ATP_c]	[_13BPGA_g]	[Glc_c]	[Glc_e]	[Glc_g]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[CO2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
0	0.1	2.23133	0.2405	8.48313	1.519	0.5	1.3165	0.1	0.5	0	1	0	0.3417	0.5	0.1	5	0.1	10	0	2	10	2.5	0	0	2.76867	10.5169	1	4.2405	0.1	2.2418	2
1	0.134379	4.90147	0.894399	1.91039	2.29037	0.351	1.59428	1.02681	0.116499	0	1	0	0.833386	0.0606683	0.0241807	5	0.0238172	0.378877	0	3.92831	5.63646	0.0862618	0	0	0.0985288	27.1231	0.477247	2.81523	302.05	1.47233	0.0716894
2	0.206635	4.9212	0.78981	2.16094	2.21866	0.398122	1.5684	1.73255	0.134708	0	1	0	1.58593	0.0923678	0.0265335	5	0.0261708	0.598733	0	3.94036	7.13015	0.0979764	0	0	0.0787963	24.0573	0.699202	2.99153	492.396	0.745673	0.059636
3	0.247534	4.93162	0.724486	2.30864	2.16631	0.432416	1.46384	2.23531	0.147972	0	1	0	1.89226	0.112756	0.0283231	5	0.027961	0.780782	0	3.94593	8.09667	0.10489	0	0	0.0683845	22.0847	0.807122	3.1092	628.135	0.543903	0.0540685
4	0.27332	4.93786	0.68003	2.40315	2.12691	0.457695	1.39806	2.60191	0.157757	0	1	0	2.04243	0.126472	0.0297204	5	0.0293588	0.917535	0	3.94906	8.74504	0.109316	0	0	0.0621419	20.7686	0.869048	3.19306	726.553	0.459509	0.0509433
5	0.29088	4.94193	0.648225	2.46745	2.09666	0.476717	1.35523	2.87582	0.165126	0	1	0	2.13098	0.136111	0.0308268	5	0.0304656	1.01973	0	3.95102	9.19779	0.112329	0	0	0.0580742	19.8536	0.908901	3.25512	799.702	0.413789	0.0489817
6	0.303405	4.94473	0.624756	2.51309	2.07315	0.491264	1.32589	3.08414	0.170764	0	1	0	2.18848	0.143107	0.0317088	5	0.0313479	1.09712	0	3.95234	9.52413	0.114468	0	0	0.055274	19.1964	0.936279	3.30209	855.12	0.385634	0.0476621
7	0.312616	4.94673	0.607077	2.54648	2.05474	0.502521	1.305	3.24462	0.17513	0	1	0	2.22808	0.148308	0.0324142	5	0.0320535	1.15646	0	3.95327	9.76507	0.116032	0	0	0.0532718	18.7125	0.955891	3.33818	897.691	0.366923	0.0467327
8	0.319536	4.9482	0.593562	2.57144	2.04025	0.511306	1.2897	3.36941	0.178538	0	1	0	2.25645	0.152241	0.0329792	5	0.0326187	1.20242	0	3.95394	9.94621	0.117202	0	0	0.0518011	18.3495	0.970346	3.36619	930.725	0.353853	0.046057
9	0.324816	4.9493	0.583119	2.59039	2.02879	0.518206	1.27825	3.46713	0.181216	0	1	0	2.27734	0.155255	0.0334322	5	0.0330719	1.23829	0	3.95445	10.0843	0.11809	0	0	0.0506989	18.0732	0.981218	3.3881	956.552	0.344405	0.0455542
