Time	[N0]	[N1]	[N2]
0	1.75445	43.8147	27.4559
1	1.75445	43.8147	27.4559
2	1.75445	43.8147	27.4559
3	1.75445	43.8147	27.4559
4	1.75445	43.8147	27.4559
5	1.75445	43.8147	27.4559
6	1.75445	43.8147	27.4559
7	1.75445	43.8147	27.4559
8	1.75445	43.8147	27.4559
9	1.75445	43.8147	27.4559
10	1.75445	43.8147	27.4559
11	1.75445	43.8147	27.4559
12	1.75445	43.8147	27.4559
13	1.75445	43.8147	27.4559
14	1.75445	43.8147	27.4559
15	1.75445	43.8147	27.4559
16	1.75445	43.8147	27.4559
17	1.75445	43.8147	27.4559
18	1.75445	43.8147	27.4559
19	1.75445	43.8147	27.4559
20	1.75445	43.8147	27.4559
21	1.75445	43.8147	27.4559
22	1.75445	43.8147	27.4559
23	1.75445	43.8147	27.4559
24	1.75445	43.8147	27.4559
25	1.75445	43.8147	27.4559
26	1.75445	43.8147	27.4559
27	1.75445	43.8147	27.4559
28	1.75445	43.8147	27.4559
29	1.75445	43.8147	27.4559
30	1.75445	43.8147	27.4559
31	1.75445	43.8147	27.4559
32	1.75445	43.8147	27.4559
33	1.75445	43.8147	27.4559
34	1.75445	43.8147	27.4559
35	1.75445	43.8147	27.4559
36	1.75445	43.8147	27.4559
37	1.75445	43.8147	27.4559
38	1.75445	43.8147	27.4559
39	1.75445	43.8147	27.4559
40	1.75445	43.8147	27.4559
41	1.75445	43.8147	27.4559
42	1.75445	43.8147	27.4559
43	1.75445	43.8147	27.4559
44	1.75445	43.8147	27.4559
45	1.75445	43.8147	27.4559
46	1.75445	43.8147	27.4559
47	1.75445	43.8147	27.4559
48	1.75445	43.8147	27.4559
49	1.75445	43.8147	27.4559
50	1.75445	43.8147	27.4559
51	1.75445	43.8147	27.4559
52	1.75445	43.8147	27.4559
53	1.75445	43.8147	27.4559
54	1.75445	43.8147	27.4559
55	1.75445	43.8147	27.4559
56	1.75445	43.8147	27.4559
57	1.75445	43.8147	27.4559
58	1.75445	43.8147	27.4559
59	1.75445	43.8147	27.4559
60	1.75445	43.8147	27.4559
61	1.75445	43.8147	27.4559
62	1.75445	43.8147	27.4559
63	1.75445	43.8147	27.4559
64	1.75445	43.8147	27.4559
65	1.75445	43.8147	27.4559
66	1.75445	43.8147	27.4559
67	1.75445	43.8147	27.4559
68	1.75445	43.8147	27.4559
69	1.75445	43.8147	27.4559
70	1.75445	43.8147	27.4559
71	1.75445	43.8147	27.4559
72	1.75445	43.8147	27.4559
73	1.75445	43.8147	27.4559
74	1.75445	43.8147	27.4559
75	1.75445	43.8147	27.4559
76	1.75445	43.8147	27.4559
77	1.75445	43.8147	27.4559
78	1.75445	43.8147	27.4559
79	1.75445	43.8147	27.4559
80	1.75445	43.8147	27.4559
81	1.75445	43.8147	27.4559
82	1.75445	43.8147	27.4559
83	1.75445	43.8147	27.4559
84	1.75445	43.8147	27.4559
85	1.75445	43.8147	27.4559
86	1.75445	43.8147	27.4559
87	1.75445	43.8147	27.4559
88	1.75445	43.8147	27.4559
89	1.75445	43.8147	27.4559
90	1.75445	43.8147	27.4559
91	1.75445	43.8147	27.4559
92	1.75445	43.8147	27.4559
93	1.75445	43.8147	27.4559
94	1.75445	43.8147	27.4559
95	1.75445	43.8147	27.4559
96	1.75445	43.8147	27.4559
97	1.75445	43.8147	27.4559
98	1.75445	43.8147	27.4559
99	1.75445	43.8147	27.4559
100	1.75445	43.8147	27.4559
