Time	[alpha]
0	0
1	5.15311e-10
2	2.69028e-09
3	1.18702e-08
4	5.06157e-08
5	2.14149e-07
6	9.04372e-07
7	3.81758e-06
8	1.61132e-05
9	6.80058e-05
10	0.000286969
11	0.00121009
12	0.00508761
13	0.0211271
14	0.0834899
15	0.27771
16	0.618728
17	0.872601
18	0.966565
19	0.991871
20	0.998062
21	0.99954
22	0.999891
23	0.999974
24	0.999994
25	0.999999
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
