Time	[X]	[Xm]	[Vm]	[Lambda]
0	0.00427219	0.972655	0.239401	3.47731
1	0.0113511	0.972655	0.239401	3.47731
2	0.0297987	0.972655	0.239401	3.47731
3	0.0758609	0.972655	0.239401	3.47731
4	0.179565	0.972655	0.239401	3.47731
5	0.367017	0.972655	0.239401	3.47731
6	0.601694	0.972655	0.239401	3.47731
7	0.790555	0.972655	0.239401	3.47731
8	0.895581	0.972655	0.239401	3.47731
9	0.942355	0.972655	0.239401	3.47731
10	0.961109	0.972655	0.239401	3.47731
11	0.968309	0.972655	0.239401	3.47731
12	0.971027	0.972655	0.239401	3.47731
13	0.972046	0.972655	0.239401	3.47731
14	0.972427	0.972655	0.239401	3.47731
15	0.97257	0.972655	0.239401	3.47731
16	0.972623	0.972655	0.239401	3.47731
17	0.972643	0.972655	0.239401	3.47731
18	0.972651	0.972655	0.239401	3.47731
19	0.972653	0.972655	0.239401	3.47731
20	0.972654	0.972655	0.239401	3.47731
21	0.972655	0.972655	0.239401	3.47731
22	0.972655	0.972655	0.239401	3.47731
23	0.972655	0.972655	0.239401	3.47731
24	0.972655	0.972655	0.239401	3.47731
25	0.972655	0.972655	0.239401	3.47731
26	0.972655	0.972655	0.239401	3.47731
27	0.972655	0.972655	0.239401	3.47731
28	0.972655	0.972655	0.239401	3.47731
29	0.972655	0.972655	0.239401	3.47731
30	0.972655	0.972655	0.239401	3.47731
31	0.972655	0.972655	0.239401	3.47731
32	0.972655	0.972655	0.239401	3.47731
33	0.972655	0.972655	0.239401	3.47731
34	0.972655	0.972655	0.239401	3.47731
35	0.972655	0.972655	0.239401	3.47731
36	0.972655	0.972655	0.239401	3.47731
37	0.972655	0.972655	0.239401	3.47731
38	0.972655	0.972655	0.239401	3.47731
39	0.972655	0.972655	0.239401	3.47731
40	0.972655	0.972655	0.239401	3.47731
41	0.972655	0.972655	0.239401	3.47731
42	0.972655	0.972655	0.239401	3.47731
43	0.972655	0.972655	0.239401	3.47731
44	0.972655	0.972655	0.239401	3.47731
45	0.972655	0.972655	0.239401	3.47731
46	0.972655	0.972655	0.239401	3.47731
47	0.972655	0.972655	0.239401	3.47731
48	0.972655	0.972655	0.239401	3.47731
49	0.972655	0.972655	0.239401	3.47731
50	0.972655	0.972655	0.239401	3.47731
51	0.972655	0.972655	0.239401	3.47731
52	0.972655	0.972655	0.239401	3.47731
53	0.972655	0.972655	0.239401	3.47731
54	0.972655	0.972655	0.239401	3.47731
55	0.972655	0.972655	0.239401	3.47731
56	0.972655	0.972655	0.239401	3.47731
57	0.972655	0.972655	0.239401	3.47731
58	0.972655	0.972655	0.239401	3.47731
59	0.972655	0.972655	0.239401	3.47731
60	0.972655	0.972655	0.239401	3.47731
61	0.972655	0.972655	0.239401	3.47731
62	0.972655	0.972655	0.239401	3.47731
63	0.972655	0.972655	0.239401	3.47731
64	0.972655	0.972655	0.239401	3.47731
65	0.972655	0.972655	0.239401	3.47731
66	0.972655	0.972655	0.239401	3.47731
67	0.972655	0.972655	0.239401	3.47731
68	0.972655	0.972655	0.239401	3.47731
69	0.972655	0.972655	0.239401	3.47731
70	0.972655	0.972655	0.239401	3.47731
71	0.972655	0.972655	0.239401	3.47731
72	0.972655	0.972655	0.239401	3.47731
73	0.972655	0.972655	0.239401	3.47731
74	0.972655	0.972655	0.239401	3.47731
75	0.972655	0.972655	0.239401	3.47731
76	0.972655	0.972655	0.239401	3.47731
77	0.972655	0.972655	0.239401	3.47731
78	0.972655	0.972655	0.239401	3.47731
79	0.972655	0.972655	0.239401	3.47731
80	0.972655	0.972655	0.239401	3.47731
81	0.972655	0.972655	0.239401	3.47731
82	0.972655	0.972655	0.239401	3.47731
83	0.972655	0.972655	0.239401	3.47731
84	0.972655	0.972655	0.239401	3.47731
85	0.972655	0.972655	0.239401	3.47731
86	0.972655	0.972655	0.239401	3.47731
87	0.972655	0.972655	0.239401	3.47731
88	0.972655	0.972655	0.239401	3.47731
89	0.972655	0.972655	0.239401	3.47731
90	0.972655	0.972655	0.239401	3.47731
91	0.972655	0.972655	0.239401	3.47731
92	0.972655	0.972655	0.239401	3.47731
93	0.972655	0.972655	0.239401	3.47731
94	0.972655	0.972655	0.239401	3.47731
95	0.972655	0.972655	0.239401	3.47731
96	0.972655	0.972655	0.239401	3.47731
97	0.972655	0.972655	0.239401	3.47731
98	0.972655	0.972655	0.239401	3.47731
99	0.972655	0.972655	0.239401	3.47731
100	0.972655	0.972655	0.239401	3.47731
