Time	[IL6{serum}]	[sgp130{serum}]	[sR_IL6_sgp130{serum}]	[CRP{serum}]	[sR{serum}]	[sR_IL6{serum}]	[Ab{serum}]	[Ab_IL6{serum}]	[Ab_sR_IL6{serum}]	[CRP Suppression (%)]	[gp130{liver}]	[R_IL6_gp130{liver}]	[sR_IL6{liver}]	[R]	[IL6{liver}]	[R_IL6]	[Ractive{liver}]	[STAT3{liver}]	[pSTAT3{liver}]	[CRP{liver}]	[sR{liver}]	[CRPExtracellular]	[sgp130{liver}]	[sR_IL6_sgp130{liver}]	[Ab_sR_IL6{liver}]	[Ab_IL6{liver}]	[Ab{liver}]	[sR_IL6{gut}]	[gp130{gut}]	[R_IL6_gp130{gut}]	[Ractive{gut}]	[STAT3{gut}]	[pSTAT3{gut}]	[geneProduct]	[sR{gut}]	[IL6{gut}]	[sgp130{gut}]	[sR_IL6_sgp130{gut}]	[Ab{gut}]	[Ab_IL6{gut}]	[Ab_sR_IL6{gut}]	[Ab{peripheral}]
0	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	-9.1171e-26	-9.13055e-27	-1.77881e-26	-0	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	-1.23689e-26	-4.75609e-27	-5.96394e-26	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	-2.04215e-27	-4.59593e-27	-7.6275e-27	-1.43947e-26
1	4.32127e-08	3.90281	0.0839163	221.064	4.25708	0.00104026	683.133	0.00848193	-1.76206e-26	2.49744e-06	0.389159	6.3892e-05	0.000944158	0.438322	6.10025e-07	5.54496e-06	0.76521	0.777573	9.22243	158.326	6.08939	409.775	5.59168	0.114158	-1.24568e-26	0.00241086	12.8665	0.00102281	0.376415	7.08479e-05	0.978765	0.610841	9.38916	159.802	6.07863	2.24893e-05	5.58263	0.123208	6.39208	0.0423494	-7.63914e-27	0.216513
2	7.90489e-08	3.90607	0.0787245	221.064	4.26218	0.000975113	661.293	0.0176359	-1.74605e-26	4.26702e-05	0.389576	6.18851e-05	0.000903495	0.438404	4.81427e-07	5.37118e-06	0.764744	0.777732	9.22227	158.324	6.09444	409.775	5.59523	0.109321	-1.25393e-26	0.00439051	26.4211	0.000936906	0.378497	6.68426e-05	0.97636	0.611567	9.38843	159.795	6.08986	1.7893e-05	5.59149	0.113061	13.1338	0.078911	-7.64884e-27	0.449307
3	1.18547e-07	3.90851	0.0737783	221.063	4.2669	0.000913288	640.575	0.02715	-1.73075e-26	0.000204777	0.390263	5.94387e-05	0.000853848	0.438473	4.51751e-07	5.15505e-06	0.763934	0.778087	9.22191	158.321	6.10055	409.774	5.59874	0.103387	-1.26168e-26	0.00643047	39.2342	0.000869014	0.380778	6.36972e-05	0.973445	0.612742	9.38726	159.785	6.09859	1.66174e-05	5.59713	0.105	19.5057	0.114614	-7.65671e-27	0.674318
4	1.61797e-07	3.91027	0.0691315	221.062	4.27122	0.000855388	620.92	0.0370051	-1.71611e-26	0.000613682	0.391211	5.69232e-05	0.000802662	0.438533	4.45382e-07	4.92981e-06	0.76275	0.778703	9.2213	158.315	6.10677	409.771	5.6016	0.0972506	-1.26894e-26	0.00852755	51.3451	0.000810299	0.383142	6.097e-05	0.970119	0.614286	9.38571	159.772	6.10592	1.61098e-05	5.60085	0.0979992	25.5273	0.1495	-7.66286e-27	0.891937
5	2.08875e-07	3.91149	0.0647676	221.061	4.27516	0.000801145	602.273	0.0471824	-1.7021e-26	0.00142339	0.392379	5.44773e-05	0.000752833	0.438583	4.48667e-07	4.709e-06	0.761199	0.779627	9.22037	158.307	6.11273	409.767	5.6037	0.0912617	-1.27575e-26	0.0106876	62.7906	0.000757237	0.385531	5.84853e-05	0.966439	0.616138	9.38386	159.755	6.11234	1.59016e-05	5.60331	0.0916507	31.217	0.183605	-7.66739e-27	1.10254
6	2.59851e-07	3.91229	0.060669	221.057	4.27875	0.000750295	584.58	0.0576637	-1.6887e-26	0.00279814	0.39372	5.21457e-05	0.000705376	0.438625	4.57297e-07	4.49739e-06	0.7593	0.780878	9.21912	158.296	6.11827	409.759	5.6051	0.0855462	-1.28212e-26	0.0129192	73.6059	0.000708297	0.38791	5.6168e-05	0.962437	0.618259	9.38174	159.737	6.11809	1.58417e-05	5.60487	0.0857787	36.5925	0.216957	-7.67042e-27	1.30647
7	3.14781e-07	3.91276	0.0568196	221.053	4.28202	0.000702605	567.791	0.0684318	-1.67585e-26	0.00489619	0.39519	4.99377e-05	0.000660573	0.438661	4.69496e-07	4.2964e-06	0.757077	0.782462	9.21754	158.282	6.12337	409.749	5.60592	0.0801414	-1.28808e-26	0.0152319	83.8243	0.000662745	0.390259	5.39836e-05	0.958143	0.620619	9.37938	159.716	6.12327	1.58665e-05	5.60576	0.0803007	41.6702	0.249582	-7.67202e-27	1.50407
8	3.73715e-07	3.91298	0.0532045	221.046	4.28499	0.000657865	551.858	0.07947	-1.66355e-26	0.00785981	0.396752	4.78501e-05	0.000618425	0.438692	4.84404e-07	4.1061e-06	0.754553	0.784375	9.21562	158.265	6.12804	409.734	5.60627	0.0750502	-1.29365e-26	0.0176346	93.4771	0.000620175	0.392563	5.19143e-05	0.953578	0.623198	9.3768	159.693	6.12797	1.59447e-05	5.60615	0.0751717	46.4659	0.281505	-7.67229e-27	1.69565
9	4.36687e-07	3.91299	0.0498097	221.038	4.28769	0.000615885	536.737	0.0907627	-1.65175e-26	0.0118105	0.398374	4.58763e-05	0.000578837	0.438718	5.01559e-07	3.92617e-06	0.75175	0.786607	9.21339	158.245	6.13228	409.715	5.60625	0.070263	-1.29884e-26	0.0201357	102.594	0.00058032	0.394813	4.99493e-05	0.948763	0.625983	9.37402	159.669	6.13223	1.60591e-05	5.60615	0.0703626	50.9944	0.31275	-7.67132e-27	1.88151
