Time	[IL6{serum}]	[sgp130{serum}]	[sR_IL6_sgp130{serum}]	[CRP{serum}]	[sR{serum}]	[sR_IL6{serum}]	[Ab{serum}]	[Ab_sR{serum}]	[Ab_sR_IL6{serum}]	[CRP Suppression (%)]	[CRP (% of baseline)]	[gp130{liver}]	[R_IL6_gp130{liver}]	[sR_IL6{liver}]	[R]	[IL6{liver}]	[R_IL6]	[Ractive{liver}]	[STAT3{liver}]	[pSTAT3{liver}]	[CRP{liver}]	[sR{liver}]	[CRPExtracellular]	[sgp130{liver}]	[sR_IL6_sgp130{liver}]	[Ab_sR{liver}]	[Ab{liver}]	[Ab_R]	[Ab_sR_IL6{liver}]	[sR_IL6{gut}]	[gp130{gut}]	[R_IL6_gp130{gut}]	[Ractive{gut}]	[STAT3{gut}]	[pSTAT3{gut}]	[geneProduct]	[sR{gut}]	[IL6{gut}]	[sgp130{gut}]	[sR_IL6_sgp130{gut}]	[Ab{gut}]	[Ab_sR{gut}]	[Ab_sR_IL6{gut}]	[Ab{peripheral}]
0	0.000435629	3.9	0.0874061	221.064	4.25351	0.00109424	2.38182e-29	6.10439e-26	-7.41331e-29	-0	100	0.388959	6.59936e-05	0.000976165	0.438236	0.000725666	1.60037e-05	0.765416	0.777537	9.22246	158.326	6.08705	409.775	5.5897	0.116344	8.61619e-26	2.20021e-29	2.03372e-27	-3.07793e-29	0.00130682	0.374963	8.4489e-05	0.980273	0.610636	9.38936	159.804	6.06411	0.0093482	5.56974	0.136304	2.15879e-29	2.6206e-26	-1.20917e-28	1.67921e-29
1	0.000638287	3.90177	0.0852779	221.064	3.0771e-05	0.00105738	675.345	7.79148	-5.89617e-29	1.12275e-06	100	0.389104	6.42066e-05	0.000950546	0.000177832	0.00173096	5.57908e-06	0.765268	0.777559	9.22244	158.326	0.00179873	409.775	5.59103	0.114914	5.18366	7.2067	0.485111	-6.39503e-29	0.00105542	0.375874	7.2386e-05	0.979344	0.610734	9.38927	159.803	0.006101	0.0167438	5.57888	0.127067	1.87254	4.56188	-1.02511e-28	0.214402
2	0.000739093	3.90521	0.0801772	221.064	3.65433e-05	0.000993315	652.283	9.01575	-5.82865e-29	2.8985e-05	100	0.38946	6.24886e-05	0.000915689	7.02527e-05	0.00253536	5.42202e-06	0.764875	0.777686	9.22231	158.325	0.000634929	409.775	5.59423	0.110774	5.243	20.6467	0.552779	-7.51174e-29	0.000959223	0.377857	6.7878e-05	0.977122	0.611308	9.38869	159.798	0.00131372	0.0203113	5.58927	0.115733	8.66172	4.55091	-9.16137e-29	0.444285
3	0.000755853	3.90788	0.075141	221.063	4.25068e-05	0.0009303	630.383	10.1997	-5.81601e-29	0.000156188	99.9998	0.390068	6.01341e-05	0.000867943	4.85882e-05	0.00285854	5.21463e-06	0.764165	0.777986	9.22201	158.322	0.000399557	409.774	5.59781	0.105075	5.32525	33.3235	0.620246	-7.96979e-29	0.000886896	0.3801	6.45233e-05	0.974338	0.61236	9.38764	159.788	0.000754814	0.0208283	5.59572	0.107157	15.0705	4.54959	-8.6755e-29	0.665973
4	0.000755416	3.90983	0.0704035	221.063	4.86601e-05	0.000871219	609.583	11.3465	-5.80547e-29	0.000495013	99.9995	0.390943	5.76228e-05	0.000816881	3.94782e-05	0.00293602	4.98997e-06	0.763086	0.778528	9.22147	158.317	0.000299828	409.772	5.60087	0.0989579	5.42956	45.2772	0.687581	-8.15676e-29	0.000825784	0.382454	6.16884e-05	0.971119	0.613804	9.3862	159.776	0.000539951	0.0208564	5.59995	0.0998792	21.1162	4.56015	-8.45867e-29	0.879871
5	0.000750749	3.91119	0.0659544	221.061	5.50028e-05	0.00081588	589.825	12.4585	-5.79503e-29	0.00119105	99.9988	0.392051	5.51496e-05	0.000766512	3.45824e-05	0.00290045	4.76666e-06	0.761636	0.779365	9.22063	158.31	0.00024561	409.768	5.60318	0.0929079	5.55473	56.5458	0.754791	-8.2282e-29	0.000771164	0.384846	5.91375e-05	0.96753	0.615574	9.38443	159.76	0.000427191	0.0208098	5.60274	0.0933506	26.8178	4.58202	-8.35735e-29	1.08636
6	0.000744928	3.91211	0.0617757	221.058	6.15337e-05	0.00076401	571.054	13.5374	-5.7846e-29	0.00240612	99.9976	0.393346	5.27811e-05	0.000718289	3.16115e-05	0.00281679	4.55155e-06	0.759832	0.780525	9.21947	158.299	0.000212166	409.761	5.60477	0.0871034	5.69959	67.1656	0.821879	-8.25024e-29	0.000721038	0.387237	5.6772e-05	0.963611	0.617624	9.38238	159.742	0.000358388	0.0207545	5.60454	0.0873413	32.1936	4.61463	-8.30549e-29	1.28582
7	0.000738889	3.91267	0.057851	221.054	6.82511e-05	0.000715367	553.218	14.585	-5.7742e-29	0.00430074	99.9957	0.394782	5.05346e-05	0.000672665	2.96824e-05	0.00271525	4.34681e-06	0.757697	0.782017	9.21798	158.286	0.000189953	409.752	5.60575	0.081602	5.86303	77.1708	0.888845	-8.25116e-29	0.000674485	0.389602	5.45478e-05	0.959391	0.61992	9.38008	159.722	0.000312518	0.0207008	5.60561	0.0817466	37.2606	4.65739	-8.2748e-29	1.47858
8	0.000732974	3.91295	0.0541648	221.048	7.5153e-05	0.000669735	536.268	15.6028	-5.76382e-29	0.00702211	99.993	0.396321	4.841e-05	0.000629708	2.83822e-05	0.00260949	4.15282e-06	0.755254	0.78384	9.21616	158.27	0.000174506	409.738	5.60622	0.0764148	6.04402	86.5941	0.95569	-8.24306e-29	0.00063102	0.391926	5.2443e-05	0.954894	0.622443	9.37756	159.7	0.000280135	0.0206502	5.60613	0.0765128	42.0353	4.70978	-8.25317e-29	1.66497
9	0.000727312	3.91302	0.0507031	221.04	8.22366e-05	0.000626918	520.158	16.5924	-5.75345e-29	0.0106979	99.9893	0.39793	4.64011e-05	0.000589343	2.74918e-05	0.00250552	3.96931e-06	0.752524	0.785985	9.21401	158.25	0.000163461	409.72	5.6063	0.071535	6.24157	95.4662	1.02241	-8.23112e-29	0.000590343	0.394198	5.04453e-05	0.950141	0.625174	9.37483	159.676	0.000256361	0.0206027	5.60623	0.0716068	46.5329	4.77127	-8.23545e-29	1.8453
