Time	[Ep]	[Eps]	[V]	[s4]	[s5]	[s6]	[s7]
0	580000	0	1473	0	0	0	0
1	124879	412142	4.47729e+06	-0.0311579	42979.6	2.68745e+06	-7.16327e+06
2	0.000125781	297798	8.09457e+06	-0.0317155	282202	3.89405e+07	-4.70336e+07
3	4.56291e-11	163435	4.5372e+06	-0.0317155	416565	6.48918e+07	-6.94275e+07
4	3.59524e-14	89695.1	2.49149e+06	-0.0317155	490305	7.92275e+07	-8.17175e+07
5	-3.64374e-14	49225.7	1.36738e+06	-0.0317155	530774	8.70965e+07	-8.84624e+07
6	-7.29924e-15	27015.7	750435	-0.0317155	552984	9.14151e+07	-9.21641e+07
7	-1.88243e-15	14826.5	411847	-0.0317155	565174	9.37852e+07	-9.41956e+07
8	-8.96535e-16	8136.96	226027	-0.0317155	571863	9.5086e+07	-9.53105e+07
9	-5.96212e-16	4465.66	124046	-0.0317155	575534	9.57998e+07	-9.59224e+07
10	-4.76627e-16	2450.81	68077.9	-0.0317155	577549	9.61916e+07	-9.62582e+07
11	-4.21522e-16	1345.03	37362	-0.0317155	578655	9.64066e+07	-9.64425e+07
12	-3.94037e-16	738.169	20504.7	-0.0317155	579262	9.65246e+07	-9.65436e+07
13	-3.79721e-16	405.116	11253.2	-0.0317155	579595	9.65894e+07	-9.65992e+07
14	-3.72087e-16	222.333	6175.9	-0.0317155	579778	9.66249e+07	-9.66296e+07
15	-3.67963e-16	122.019	3389.41	-0.0317155	579878	9.66444e+07	-9.66463e+07
16	-3.65719e-16	66.9654	1860.15	-0.0317155	579933	9.66551e+07	-9.66555e+07
17	-3.64494e-16	36.7514	1020.87	-0.0317155	579963	9.6661e+07	-9.66605e+07
18	-3.63823e-16	20.1696	560.266	-0.0317155	579980	9.66642e+07	-9.66633e+07
19	-3.63455e-16	11.0693	307.481	-0.0317155	579989	9.6666e+07	-9.66648e+07
20	-3.63253e-16	6.07497	168.749	-0.0317155	579994	9.6667e+07	-9.66657e+07
21	-3.63143e-16	3.33401	92.6115	-0.0317155	579997	9.66675e+07	-9.66661e+07
22	-3.63082e-16	1.82975	50.8263	-0.0317155	579998	9.66678e+07	-9.66664e+07
23	-3.63049e-16	1.00419	27.894	-0.0317155	579999	9.66679e+07	-9.66665e+07
24	-3.63031e-16	0.55111	15.3086	-0.0317155	579999	9.6668e+07	-9.66666e+07
25	-3.63021e-16	0.302456	8.40154	-0.0317155	580000	9.66681e+07	-9.66666e+07
26	-3.63015e-16	0.165991	4.61087	-0.0317155	580000	9.66681e+07	-9.66666e+07
27	-3.63012e-16	0.0910979	2.5305	-0.0317155	580000	9.66681e+07	-9.66667e+07
28	-3.6301e-16	0.0499956	1.38876	-0.0317155	580000	9.66681e+07	-9.66667e+07
29	-3.6301e-16	0.0274381	0.762171	-0.0317155	580000	9.66681e+07	-9.66667e+07
30	-3.63009e-16	0.0150584	0.418288	-0.0317155	580000	9.66681e+07	-9.66667e+07
31	-3.63009e-16	0.00826421	0.229561	-0.0317155	580000	9.66681e+07	-9.66667e+07
32	-3.63009e-16	0.00453549	0.125986	-0.0317155	580000	9.66681e+07	-9.66667e+07
33	-3.63009e-16	0.00248913	0.0691425	-0.0317155	580000	9.66681e+07	-9.66667e+07
34	-3.63009e-16	0.00136606	0.0379462	-0.0317155	580000	9.66681e+07	-9.66667e+07
35	-3.63009e-16	0.000749711	0.0208253	-0.0317155	580000	9.66681e+07	-9.66667e+07
36	-3.63009e-16	0.000411451	0.0114292	-0.0317155	580000	9.66681e+07	-9.66667e+07
37	-3.63009e-16	0.000225809	0.00627247	-0.0317155	580000	9.66681e+07	-9.66667e+07
38	-3.63009e-16	0.000123927	0.00344241	-0.0317155	580000	9.66681e+07	-9.66667e+07
39	-3.63009e-16	6.80125e-05	0.00188924	-0.0317155	580000	9.66681e+07	-9.66667e+07
40	-3.63009e-16	3.73261e-05	0.00103683	-0.0317155	580000	9.66681e+07	-9.66667e+07
41	-3.63009e-16	2.0485e-05	0.000569027	-0.0317155	580000	9.66681e+07	-9.66667e+07
42	-3.63009e-16	1.12424e-05	0.000312289	-0.0317155	580000	9.66681e+07	-9.66667e+07
43	-3.63009e-16	6.16995e-06	0.000171388	-0.0317155	580000	9.66681e+07	-9.66667e+07
44	-3.63009e-16	3.38614e-06	9.40595e-05	-0.0317155	580000	9.66681e+07	-9.66667e+07
45	-3.63009e-16	1.85835e-06	5.16209e-05	-0.0317155	580000	9.66681e+07	-9.66667e+07
46	-3.63009e-16	1.01989e-06	2.83302e-05	-0.0317155	580000	9.66681e+07	-9.66667e+07
47	-3.63009e-16	5.59726e-07	1.55479e-05	-0.0317155	580000	9.66681e+07	-9.66667e+07
48	-3.63009e-16	3.07184e-07	8.53288e-06	-0.0317155	580000	9.66681e+07	-9.66667e+07
49	-3.63009e-16	1.68586e-07	4.68294e-06	-0.0317155	580000	9.66681e+07	-9.66667e+07
50	-3.63009e-16	9.2522e-08	2.57006e-06	-0.0317155	580000	9.66681e+07	-9.66667e+07
51	-3.63009e-16	5.07772e-08	1.41048e-06	-0.0317155	580000	9.66681e+07	-9.66667e+07
52	-3.63009e-16	2.78671e-08	7.74085e-07	-0.0317155	580000	9.66681e+07	-9.66667e+07
53	-3.63009e-16	1.52938e-08	4.24828e-07	-0.0317155	580000	9.66681e+07	-9.66667e+07
54	-3.63009e-16	8.39332e-09	2.33148e-07	-0.0317155	580000	9.66681e+07	-9.66667e+07
55	-3.63009e-16	4.60636e-09	1.27955e-07	-0.0317155	580000	9.66681e+07	-9.66667e+07
56	-3.63009e-16	2.52804e-09	7.02235e-08	-0.0317155	580000	9.66681e+07	-9.66667e+07
57	-3.63009e-16	1.38745e-09	3.85402e-08	-0.0317155	580000	9.66681e+07	-9.66667e+07
58	-3.63009e-16	7.6148e-10	2.11522e-08	-0.0317155	580000	9.66681e+07	-9.66667e+07
59	-3.63009e-16	4.17925e-10	1.1609e-08	-0.0317155	580000	9.66681e+07	-9.66667e+07
60	-3.63009e-16	2.29384e-10	6.37178e-09	-0.0317155	580000	9.66681e+07	-9.66667e+07
61	-3.63009e-16	1.25902e-10	3.49728e-09	-0.0317155	580000	9.66681e+07	-9.66667e+07
62	-3.63009e-16	6.91094e-11	1.91971e-09	-0.0317155	580000	9.66681e+07	-9.66667e+07
63	-3.63009e-16	3.79396e-11	1.05388e-09	-0.0317155	580000	9.66681e+07	-9.66667e+07
64	-3.63009e-16	2.08268e-11	5.78522e-10	-0.0317155	580000	9.66681e+07	-9.66667e+07
65	-3.63009e-16	1.1442e-11	3.17839e-10	-0.0317155	580000	9.66681e+07	-9.66667e+07
66	-3.63009e-16	6.29231e-12	1.74788e-10	-0.0317155	580000	9.66681e+07	-9.66667e+07
67	-3.63009e-16	3.45874e-12	9.6075e-11	-0.0317155	580000	9.66681e+07	-9.66667e+07
68	-3.63009e-16	1.90346e-12	5.28745e-11	-0.0317155	580000	9.66681e+07	-9.66667e+07
69	-3.63009e-16	1.05509e-12	2.93095e-11	-0.0317155	580000	9.66681e+07	-9.66667e+07
70	-3.63009e-16	5.87102e-13	1.63076e-11	-0.0317155	580000	9.66681e+07	-9.66667e+07
71	-3.63009e-16	3.24396e-13	9.01071e-12	-0.0317155	580000	9.66681e+07	-9.66667e+07
72	-3.63009e-16	1.78533e-13	4.95967e-12	-0.0317155	580000	9.66681e+07	-9.66667e+07
73	-3.63009e-16	1.00957e-13	2.80395e-12	-0.0317155	580000	9.66681e+07	-9.66667e+07
74	-3.63009e-16	6.16373e-14	1.71131e-12	-0.0317155	580000	9.66681e+07	-9.66667e+07
