Time	[F]	[P]	[C]
0	135	0	18
1	137.937	0.1419	18.719
2	139.794	0.146073	19.5709
3	140.721	0.151085	20.4173
4	140.707	0.157021	21.2574
5	139.744	0.164004	22.09
6	137.822	0.172199	22.9138
7	134.929	0.181836	23.7273
8	131.054	0.193225	24.5286
9	126.181	0.206794	25.3152
10	120.292	0.223148	26.0841
11	113.365	0.243161	26.8313
12	105.369	0.268151	27.5512
13	96.2677	0.300193	28.2356
14	86.0072	0.342766	28.8727
15	74.5148	0.40219	29.4426
16	61.6857	0.491315	29.91
17	47.3687	0.640926	30.2016
18	31.3761	0.946911	30.123
19	13.9011	1.88304	28.8769
20	1.13724	6.72304	21.329
21	0.223288	10.0205	9.77203
22	0.400392	6.96993	5.16454
23	1.08676	3.7467	4.10614
24	3.43036	1.61988	4.64823
25	9.81688	0.653692	5.56438
26	19.9849	0.359368	6.37999
27	31.6559	0.252848	7.18788
28	43.6417	0.202702	8.01296
29	55.4211	0.175008	8.85303
30	66.7344	0.158222	9.70385
31	77.4362	0.147517	10.5621
32	87.4369	0.140561	11.4252
33	96.6777	0.136111	12.2915
34	105.117	0.133451	13.1595
35	112.726	0.13215	14.0281
36	119.481	0.131939	14.8964
37	125.364	0.132651	15.7635
38	130.362	0.134184	16.6286
39	134.46	0.136485	17.491
40	137.65	0.139535	18.35
41	139.921	0.143347	19.2048
42	141.264	0.147962	20.0546
43	141.67	0.153449	20.8985
44	141.131	0.159912	21.7354
45	139.636	0.167496	22.5642
46	137.177	0.176396	23.3835
47	133.74	0.18688	24.1915
48	129.312	0.19931	24.9862
49	123.878	0.214197	25.7648
50	117.416	0.232264	26.5238
51	109.901	0.254584	27.2585
52	101.299	0.2828	27.9621
53	91.5659	0.319585	28.625
54	80.6395	0.369586	29.2318
55	68.4322	0.441701	29.7565
56	54.8172	0.555423	30.149
57	39.6176	0.763207	30.2939
58	22.7013	1.26468	29.8223
59	5.72257	3.41233	26.6378
60	0.272338	9.78588	14.5369
61	0.274391	8.73336	6.80903
62	0.642728	5.23251	4.33915
63	1.92224	2.52749	4.25906
64	6.04104	1.00203	5.12018
65	14.6369	0.463869	5.97992
66	25.7842	0.294426	6.78405
67	37.709	0.223443	7.60043
68	49.6366	0.186838	8.43367
69	61.2066	0.165517	9.2797
70	72.2274	0.1522	10.1346
71	82.5866	0.143594	10.9957
72	92.212	0.138019	11.8606
73	101.055	0.134541	12.728
74	109.081	0.132609	13.5965
75	116.263	0.131885	14.465
76	122.582	0.132156	15.3328
77	128.022	0.133291	16.199
78	132.569	0.135215	17.0629
79	136.212	0.137894	17.9237
80	138.941	0.141323	18.7808
81	140.747	0.145531	19.6332
82	141.62	0.150573	20.4802
83	141.552	0.156534	21.3207
84	140.534	0.163538	22.1538
85	138.556	0.171753	22.978
86	135.606	0.181408	23.7919
87	131.673	0.192813	24.5936
88	126.742	0.206398	25.3806
89	120.794	0.222769	26.1499
90	113.806	0.242802	26.8974
91	105.75	0.267818	27.6176
92	96.5857	0.299898	28.3024
93	86.262	0.342531	28.9396
94	74.7052	0.402062	29.5096
95	61.8097	0.491403	29.9768
96	47.4239	0.64154	30.2676
97	31.3597	0.949237	30.186
98	13.8178	1.89519	28.9244
99	1.10343	6.79475	21.2786
100	0.222425	10.0351	9.73141
