Time	[Amyloid]
0	0
1	0.000648301
2	0.00171533
3	0.00346961
4	0.0063485
5	0.0110588
6	0.0187281
7	0.0311161
8	0.0508715
9	0.0817408
10	0.128474
11	0.195942
12	0.286951
13	0.39909
14	0.522817
15	0.643753
16	0.748741
17	0.830903
18	0.890135
19	0.930356
20	0.95657
21	0.973201
22	0.983572
23	0.989971
24	0.993893
25	0.996287
26	0.997745
27	0.998631
28	0.999169
29	0.999496
30	0.999694
31	0.999814
32	0.999887
33	0.999932
34	0.999959
35	0.999975
36	0.999985
37	0.999991
38	0.999994
39	0.999997
40	0.999998
41	0.999999
42	0.999999
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
