Time	[Phosphoenol pyruvate]	[Extracellular Glucose]	[Glucose-6-Phosphate]	[Pyruvate]	[Fructose-6-Phosphate]	[Glucose-1-Phosphate]	[6-Phosphogluconate]	[sedoheptulose-7-phosphate]	[Glyceraldehyde-3-Phosphate]	[Erythrose-4-phosphate]	[Xylulose-5-phosphate]	[Ribose-5-phosphate]	[Dihydroxyacetonephosphate]	[3-Phosphoglycerate]	[2-Phosphoglycerate]	[Ribulose-5-phosphate]	[accoa]	[malcoa]	[fer]	[fer_ext]	[fercoa]	[ferdicoa]	[cur]	[cur_ext]
0	2.67	55.5	3.48	2.67	0.6	0.653	0.808	0.276	0.218	0.098	0.138	0.398	0.167	2.13	0.399	0.111	1	1	0	271.5	0	0	0	0
1	0.736561	55.4358	4.35473	5.59019	0.734058	0.661598	0.840127	0.257038	0.508255	0.176042	0.213784	0.513812	0.488863	0.655547	0.117131	0.154383	2.016	0.000299967	252.871	252.885	955.056	0.00039378	0.0155581	0.0155125
2	0.266695	55.4112	3.57341	5.88148	0.608126	0.641325	0.845924	0.220039	0.474619	0.168164	0.175863	0.530521	0.581556	0.256886	0.0439986	0.141924	3.03592	0.000299982	238.369	238.384	1912.06	0.000393797	0.0162597	0.0162141
3	0.325725	55.3858	3.57233	6.34878	0.608175	0.620166	0.8422	0.214846	0.466061	0.164334	0.174918	0.510087	0.544791	0.30298	0.0528045	0.138602	3.91792	0.000299989	223.868	223.882	2869.06	0.000393804	0.0169614	0.0169157
4	0.368356	55.359	3.61584	6.83725	0.615457	0.604745	0.840303	0.216321	0.46481	0.163554	0.177015	0.504411	0.526717	0.337051	0.0592291	0.138786	4.85602	0.000299994	209.366	209.381	3826.05	0.00039381	0.017663	0.0176174
5	0.388595	55.3324	3.62774	7.25262	0.617561	0.592473	0.839461	0.216991	0.465475	0.163699	0.177711	0.504289	0.520548	0.353326	0.0622865	0.139067	5.84266	0.000299997	194.865	194.88	4783.04	0.000393814	0.0183647	0.0183191
6	0.400641	55.3064	3.62754	7.60707	0.617663	0.582118	0.838875	0.217044	0.466028	0.163859	0.177801	0.504745	0.517369	0.362973	0.0641013	0.139156	6.8535	0.000299999	180.364	180.379	5740.01	0.000393816	0.0190663	0.0190207
7	0.410572	55.2807	3.62562	7.91922	0.617462	0.573273	0.838336	0.216953	0.466309	0.163929	0.177781	0.504925	0.514678	0.370885	0.0655932	0.139162	7.87588	0.000300001	165.863	165.878	6696.98	0.000393819	0.019768	0.0197224
8	0.419609	55.2553	3.62415	8.20036	0.617322	0.565741	0.837831	0.216865	0.466475	0.163959	0.177768	0.504943	0.512203	0.378074	0.0669493	0.139151	8.90439	0.000300003	151.363	151.377	7653.93	0.00039382	0.0204697	0.0204241
9	0.42783	55.2303	3.62306	8.45692	0.617232	0.559353	0.837367	0.216794	0.466605	0.163979	0.177766	0.504922	0.509988	0.38461	0.0681825	0.139141	9.9364	0.000300004	136.862	136.877	8610.86	0.000393822	0.0211714	0.0211258
10	0.435278	55.2054	3.62213	8.6931	0.617157	0.553952	0.836947	0.216734	0.466718	0.163996	0.177766	0.504896	0.508026	0.390532	0.0692996	0.139133	10.9702	0.000300005	122.362	122.377	9567.78	0.000393823	0.021873	0.0218274
11	0.442059	55.1808	3.62126	8.91202	0.617085	0.549398	0.836565	0.216678	0.466817	0.16401	0.177765	0.504872	0.506275	0.395921	0.0703163	0.139124	12.0048	0.000300005	107.862	107.877	10524.7	0.000393824	0.0225747	0.0225291
12	0.448282	55.1564	3.62045	9.11615	0.617017	0.545569	0.836219	0.216627	0.466903	0.164021	0.177763	0.504847	0.504696	0.400865	0.071249	0.139116	13.0392	0.000300006	93.3631	93.3776	11481.5	0.000393824	0.0232764	0.0232308
13	0.454034	55.1322	3.6197	9.30748	0.616953	0.542359	0.835903	0.21658	0.466978	0.164031	0.17776	0.504822	0.503259	0.405434	0.072111	0.139107	14.0728	0.000300006	78.8644	78.8789	12438.3	0.000393825	0.0239781	0.0239325
14	0.459382	55.1082	3.61901	9.4876	0.616893	0.539678	0.835615	0.216537	0.467044	0.164039	0.177757	0.504797	0.501941	0.40968	0.0729121	0.139099	15.1052	0.000300007	64.3667	64.3812	13395.1	0.000393825	0.0246798	0.0246342
15	0.464378	55.0843	3.61836	9.65784	0.616838	0.537447	0.835353	0.216497	0.467103	0.164045	0.177754	0.504773	0.500727	0.413646	0.0736605	0.139092	16.136	0.000300007	49.8703	49.8848	14351.8	0.000393826	0.0253815	0.0253359
16	0.469065	55.0606	3.61776	9.81928	0.616785	0.535598	0.835113	0.21646	0.467156	0.164051	0.177751	0.50475	0.499601	0.417366	0.0743624	0.139084	17.1651	0.000300008	35.3762	35.3907	15308.3	0.000393826	0.0260832	0.0260376
17	0.47348	55.037	3.6172	9.97286	0.616736	0.534074	0.834893	0.216426	0.467203	0.164056	0.177748	0.504728	0.498553	0.420869	0.0750234	0.139077	18.1921	0.000300008	20.8869	20.9014	16264.5	0.000393827	0.0267849	0.0267392
18	0.477652	55.0135	3.61667	10.1193	0.616691	0.532825	0.834691	0.216395	0.467246	0.164061	0.177745	0.504708	0.497573	0.42418	0.075648	0.139071	19.217	0.000300008	6.41469	6.42913	17219.6	0.000393827	0.0274865	0.0274409
19	0.481607	54.9902	3.61617	10.2594	0.616647	0.531809	0.834506	0.216365	0.467285	0.164065	0.177742	0.504688	0.496654	0.427317	0.0762399	0.139065	20.2396	0.000300008	5.35159e-15	8.35309e-15	17643.8	0.000393827	0.0281882	0.0281426
20	0.485366	54.967	3.6157	10.3936	0.616607	0.53099	0.834336	0.216338	0.467321	0.164068	0.177739	0.504669	0.495788	0.430298	0.0768025	0.139059	21.2599	0.000300009	3.96816e-16	6.19376e-16	17643.7	0.000393828	0.0288899	0.0288443
21	0.488948	54.9438	3.61526	10.5225	0.616568	0.530336	0.834178	0.216312	0.467354	0.164071	0.177736	0.504651	0.494971	0.433139	0.0773385	0.139054	22.2779	0.000300009	2.66713e-18	4.16302e-18	17643.6	0.000393828	0.0295916	0.029546
22	0.492369	54.9208	3.61484	10.6465	0.616532	0.529823	0.834033	0.216288	0.467384	0.164074	0.177733	0.504634	0.494196	0.435852	0.0778504	0.139049	23.2935	0.000300009	1.68201e-17	2.62539e-17	17643.5	0.000393828	0.0302933	0.0302477
23	0.495644	54.8979	3.61445	10.766	0.616498	0.529426	0.833898	0.216266	0.467412	0.164076	0.17773	0.504618	0.493461	0.438448	0.0783403	0.139044	24.3067	0.000300009	5.17554e-17	8.0783e-17	17643.4	0.000393828	0.030995	0.0309494
24	0.498784	54.8751	3.61407	10.8813	0.616466	0.529128	0.833773	0.216244	0.467437	0.164078	0.177727	0.504603	0.492762	0.440937	0.0788101	0.139039	25.3175	0.000300009	7.42911e-18	1.15958e-17	17643.3	0.000393829	0.0316967	0.0316511
25	0.501801	54.8524	3.61371	10.9928	0.616435	0.528913	0.833656	0.216224	0.467461	0.16408	0.177724	0.504588	0.492094	0.443329	0.0792613	0.139035	26.3258	0.00030001	-4.12842e-19	-6.4439e-19	17643.2	0.000393829	0.0323984	0.0323528
