Time	[B]	[A]
0	0	1
1	8.57118	1
2	20.0252	1
3	35.331	1
4	55.7829	1
5	83.1095	1
6	119.618	1
7	168.389	1
8	233.53	1
9	320.518	1
10	436.648	1
11	591.625	1
12	798.343	1
13	1073.89	1
14	1440.87	1
15	1929.05	1
16	2577.45	1
17	3436.87	1
18	4572.88	1
19	6069.1	1
20	8030.39	1
21	10585.3	1
22	13886.8	1
23	18108.5	1
24	23435.4	1
25	30044.6	1
26	38075.8	1
27	47591.6	1
28	58535	1
29	70696.2	1
30	83707	1
31	97073	1
32	110243	1
33	122698	1
34	134028	1
35	143975	1
36	152440	1
37	159454	1
38	165140	1
39	169666	1
40	173219	1
41	175976	1
42	178097	1
43	179718	1
44	180950	1
45	181883	1
46	182587	1
47	183118	1
48	183517	1
49	183817	1
50	184042	1
51	184210	1
52	184337	1
53	184431	1
54	184502	1
55	184555	1
56	184595	1
57	184625	1
58	184647	1
59	184664	1
60	184676	1
61	184686	1
62	184693	1
63	184698	1
64	184702	1
65	184705	1
66	184707	1
67	184709	1
68	184710	1
69	184711	1
70	184711	1
71	184712	1
72	184712	1
73	184713	1
74	184713	1
75	184713	1
76	184713	1
77	184713	1
78	184713	1
79	184713	1
80	184713	1
81	184713	1
82	184713	1
83	184713	1
84	184713	1
85	184713	1
86	184713	1
87	184713	1
88	184713	1
89	184713	1
90	184713	1
91	184713	1
92	184713	1
93	184713	1
94	184713	1
95	184713	1
96	184713	1
97	184713	1
98	184713	1
99	184713	1
100	184713	1
