Time	[CRP]	[CRPsiteI_crp]	[CRPsiteII_crp]	[CRPsite_cyaA]	[CRPsite_genome]	[CRPsite_ptsGp1]	[CRPsite_ptsGp2]	[CRPsite_ptsHp0]	[CRPsite_ptsHp1]	[CRPsite_ptsIp0]	[CRPsite_ptsIp1]	[CRPsite_mlcp1]	[CRPsite_mlcp2]	[Mlc]	[Mlcsite_mlcp1]	[Mlcsite_mlcp2]	[Mlcsite_ptsGp1]	[Mlcsite_ptsGp2]	[Mlcsite_ptsHp0]	[Mlcsite_ptsIp0]	[CRP_cAMP]	[CRP_cAMP_CRPsiteI_crp]	[CRP_cAMP_CRPsiteII_crp]	[CRP_cAMP_CRPsite_cyaA]	[CRP_cAMP_CRPsite_genome]	[CRP_cAMP_CRPsite_ptsGp1]	[CRP_cAMP_CRPsite_ptsGp2]	[CRP_cAMP_CRPsite_ptsHp0]	[CRP_cAMP_CRPsite_ptsHp1]	[CRP_cAMP_CRPsite_ptsIp0]	[CRP_cAMP_CRPsite_ptsIp1]	[CRP_cAMP_CRPsite_mlcp1]	[CRP_cAMP_CRPsite_mlcp2]	[Mlc_Mlcsite_ptsGp1]	[Mlc_Mlcsite_ptsGp2]	[Mlc_Mlcsite_ptsIp0]	[Mlc_Mlcsite_ptsHp0]	[Mlc_Mlcsite_mlcp1]	[Mlc_Mlcsite_mlcp2]	[IICB]	[IICB_Mlc]	[CYA]	[IIA_P]	[IIA_P_CYA]	[mRNA_cyaA]	[mRNA_crp]	[mRNA_ptsG]	[mRNA_ptsH]	[mRNA_ptsI]	[mRNA_crr]	[mRNA_mlc]	[IICB_P]	[IIA]	[HPr_P]	[HPr]	[EI_P]	[EI]	[cAMP]	[cyaA]	[cyaA_basal]	[crp]	[crp_basal]	[ptsGp1]	[ptsGp2]	[ptsHp0]	[ptsHp1]	[ptsIp0]	[ptsIp1]	[crr]	[mlcp1]	[mlcp2]	[Pyr]	[PEP]	[Glc6P]	[Glucose]	[ATP]
0	5.4207e-06	7.4368e-11	1.9047e-10	3.1103e-11	3.6756e-09	1.2021e-10	1.2021e-10	1.2021e-10	1.2021e-10	1.2021e-10	1.2021e-10	1.2021e-10	1.2021e-10	5.5172e-10	2.4267e-10	2.4282e-10	2.1885e-10	2.1885e-10	2.1885e-10	2.1885e-10	1.0214e-07	1.6863e-10	5.2529e-11	2.119e-10	3.7544e-09	1.2279e-10	1.2279e-10	1.2279e-10	1.2279e-10	1.2279e-10	1.2279e-10	1.2279e-10	1.2279e-10	2.4149e-11	2.4149e-11	2.4149e-11	2.4149e-11	3.2535e-13	1.8086e-13	4.2844e-05	1.6546e-07	1.4934e-06	7.0094e-06	7.3371e-09	1.3643e-08	5.0254e-08	4.5559e-07	1.1411e-07	1.0038e-08	9.3861e-07	1.5101e-09	7.1055e-06	9.623e-05	7.5867e-07	1.1793e-05	2.4319e-07	8.6098e-07	4.7107e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
1	5.42069e-06	7.43712e-11	1.90474e-10	3.11051e-11	3.67579e-09	1.20217e-10	1.20217e-10	1.20217e-10	1.20217e-10	1.20217e-10	1.20217e-10	1.20217e-10	1.20217e-10	5.51705e-10	2.4267e-10	2.4282e-10	2.18851e-10	2.18851e-10	2.18851e-10	2.18851e-10	1.02134e-07	1.68627e-10	5.25252e-11	2.11898e-10	3.75421e-09	1.22783e-10	1.22783e-10	1.22783e-10	1.22783e-10	1.22783e-10	1.22783e-10	1.22783e-10	1.22783e-10	2.41482e-11	2.41482e-11	2.41482e-11	2.41482e-11	3.25334e-13	1.80853e-13	4.28439e-05	1.6546e-07	1.4941e-06	7.00943e-06	7.34081e-09	1.36433e-08	5.02532e-08	4.55578e-07	1.14108e-07	1.00379e-08	9.3861e-07	1.51011e-09	7.10551e-06	9.62307e-05	7.58678e-07	1.1793e-05	2.43191e-07	8.60979e-07	4.71279e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
2	5.42064e-06	7.43496e-11	1.90457e-10	3.10938e-11	3.67501e-09	1.20192e-10	1.20192e-10	1.20192e-10	1.20192e-10	1.20192e-10	1.20192e-10	1.20192e-10	1.20192e-10	5.51707e-10	2.4267e-10	2.4282e-10	2.18851e-10	2.18851e-10	2.18851e-10	2.18851e-10	1.02176e-07	1.68648e-10	5.25424e-11	2.11909e-10	3.75499e-09	1.22808e-10	1.22808e-10	1.22808e-10	1.22808e-10	1.22808e-10	1.22808e-10	1.22808e-10	1.22808e-10	2.41483e-11	2.41483e-11	2.41483e-11	2.41483e-11	3.25335e-13	1.80853e-13	4.28438e-05	1.65461e-07	1.49473e-06	7.00949e-06	7.34404e-09	1.36431e-08	5.02538e-08	4.55586e-07	1.14109e-07	1.00379e-08	9.3861e-07	1.51011e-09	7.10552e-06	9.62313e-05	7.58681e-07	1.1793e-05	2.43191e-07	8.60979e-07	4.71481e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
3	5.4206e-06	7.43302e-11	1.90441e-10	3.10836e-11	3.67431e-09	1.20169e-10	1.20169e-10	1.20169e-10	1.20169e-10	1.20169e-10	1.20169e-10	1.20169e-10	1.20169e-10	5.51707e-10	2.4267e-10	2.4282e-10	2.18851e-10	2.18851e-10	2.18851e-10	2.18851e-10	1.02215e-07	1.68668e-10	5.25579e-11	2.11919e-10	3.75569e-09	1.22831e-10	1.22831e-10	1.22831e-10	1.22831e-10	1.22831e-10	1.22831e-10	1.22831e-10	1.22831e-10	2.41483e-11	2.41483e-11	2.41483e-11	2.41483e-11	3.25335e-13	1.80853e-13	4.28439e-05	1.65461e-07	1.49529e-06	7.00954e-06	7.34692e-09	1.36424e-08	5.02554e-08	4.5561e-07	1.14111e-07	1.00381e-08	9.3861e-07	1.51012e-09	7.10554e-06	9.62318e-05	7.58683e-07	1.17931e-05	2.43191e-07	8.6098e-07	4.71661e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
4	5.42059e-06	7.43128e-11	1.90427e-10	3.10744e-11	3.67368e-09	1.20149e-10	1.20149e-10	1.20149e-10	1.20149e-10	1.20149e-10	1.20149e-10	1.20149e-10	1.20149e-10	5.51704e-10	2.4267e-10	2.4282e-10	2.18851e-10	2.18851e-10	2.18851e-10	2.18851e-10	1.02249e-07	1.68685e-10	5.25719e-11	2.11929e-10	3.75632e-09	1.22851e-10	1.22851e-10	1.22851e-10	1.22851e-10	1.22851e-10	1.22851e-10	1.22851e-10	1.22851e-10	2.41482e-11	2.41482e-11	2.41482e-11	2.41482e-11	3.25333e-13	1.80852e-13	4.28442e-05	1.65461e-07	1.4958e-06	7.00957e-06	7.34946e-09	1.36414e-08	5.02579e-08	4.55646e-07	1.14115e-07	1.00385e-08	9.3861e-07	1.51012e-09	7.1056e-06	9.62323e-05	7.58686e-07	1.17931e-05	2.43192e-07	8.60983e-07	4.71822e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
5	5.42061e-06	7.42972e-11	1.90415e-10	3.10662e-11	3.67312e-09	1.2013e-10	1.2013e-10	1.2013e-10	1.2013e-10	1.2013e-10	1.2013e-10	1.2013e-10	1.2013e-10	5.51696e-10	2.4267e-10	2.4282e-10	2.18851e-10	2.18851e-10	2.18851e-10	2.18851e-10	1.0228e-07	1.68701e-10	5.25843e-11	2.11937e-10	3.75688e-09	1.2287e-10	1.2287e-10	1.2287e-10	1.2287e-10	1.2287e-10	1.2287e-10	1.2287e-10	1.2287e-10	2.41479e-11	2.41479e-11	2.41479e-11	2.41479e-11	3.25329e-13	1.8085e-13	4.28449e-05	1.65461e-07	1.49624e-06	7.00959e-06	7.35168e-09	1.36402e-08	5.02609e-08	4.55689e-07	1.1412e-07	1.00389e-08	9.38609e-07	1.51012e-09	7.1057e-06	9.62328e-05	7.5869e-07	1.17932e-05	2.43193e-07	8.60989e-07	4.71963e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
6	5.42066e-06	7.42832e-11	1.90404e-10	3.10589e-11	3.67262e-09	1.20114e-10	1.20114e-10	1.20114e-10	1.20114e-10	1.20114e-10	1.20114e-10	1.20114e-10	1.20114e-10	5.51684e-10	2.4267e-10	2.4282e-10	2.18852e-10	2.18852e-10	2.18852e-10	2.18852e-10	1.02308e-07	1.68715e-10	5.25954e-11	2.11944e-10	3.75738e-09	1.22886e-10	1.22886e-10	1.22886e-10	1.22886e-10	1.22886e-10	1.22886e-10	1.22886e-10	1.22886e-10	2.41474e-11	2.41474e-11	2.41474e-11	2.41474e-11	3.25322e-13	1.80846e-13	4.28459e-05	1.65462e-07	1.49663e-06	7.00959e-06	7.3536e-09	1.36388e-08	5.02644e-08	4.55736e-07	1.14126e-07	1.00394e-08	9.38609e-07	1.51012e-09	7.10584e-06	9.62333e-05	7.58698e-07	1.17934e-05	2.43195e-07	8.60999e-07	4.72086e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
7	5.42074e-06	7.42708e-11	1.90394e-10	3.10524e-11	3.67217e-09	1.20099e-10	1.20099e-10	1.20099e-10	1.20099e-10	1.20099e-10	1.20099e-10	1.20099e-10	1.20099e-10	5.51668e-10	2.4267e-10	2.4282e-10	2.18852e-10	2.18852e-10	2.18852e-10	2.18852e-10	1.02333e-07	1.68727e-10	5.26054e-11	2.11951e-10	3.75783e-09	1.22901e-10	1.22901e-10	1.22901e-10	1.22901e-10	1.22901e-10	1.22901e-10	1.22901e-10	1.22901e-10	2.41467e-11	2.41467e-11	2.41467e-11	2.41467e-11	3.25312e-13	1.80841e-13	4.28472e-05	1.65462e-07	1.49697e-06	7.00959e-06	7.35525e-09	1.36372e-08	5.02682e-08	4.55785e-07	1.14133e-07	1.00399e-08	9.38609e-07	1.51012e-09	7.10605e-06	9.62336e-05	7.58708e-07	1.17936e-05	2.43198e-07	8.61011e-07	4.72192e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
8	5.42086e-06	7.42598e-11	1.90385e-10	3.10466e-11	3.67177e-09	1.20086e-10	1.20086e-10	1.20086e-10	1.20086e-10	1.20086e-10	1.20086e-10	1.20086e-10	1.20086e-10	5.51647e-10	2.4267e-10	2.4282e-10	2.18853e-10	2.18853e-10	2.18853e-10	2.18853e-10	1.02354e-07	1.68738e-10	5.26142e-11	2.11956e-10	3.75823e-09	1.22914e-10	1.22914e-10	1.22914e-10	1.22914e-10	1.22914e-10	1.22914e-10	1.22914e-10	1.22914e-10	2.41459e-11	2.41459e-11	2.41459e-11	2.41459e-11	3.253e-13	1.80834e-13	4.28489e-05	1.65462e-07	1.49725e-06	7.00959e-06	7.35667e-09	1.36356e-08	5.02721e-08	4.55835e-07	1.1414e-07	1.00405e-08	9.38609e-07	1.51012e-09	7.1063e-06	9.6234e-05	7.58723e-07	1.17938e-05	2.43202e-07	8.61028e-07	4.72283e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
9	5.42101e-06	7.425e-11	1.90377e-10	3.10414e-11	3.67142e-09	1.20075e-10	1.20075e-10	1.20075e-10	1.20075e-10	1.20075e-10	1.20075e-10	1.20075e-10	1.20075e-10	5.51622e-10	2.4267e-10	2.4282e-10	2.18854e-10	2.18854e-10	2.18854e-10	2.18854e-10	1.02374e-07	1.68748e-10	5.2622e-11	2.11962e-10	3.75858e-09	1.22925e-10	1.22925e-10	1.22925e-10	1.22925e-10	1.22925e-10	1.22925e-10	1.22925e-10	1.22925e-10	2.4145e-11	2.4145e-11	2.4145e-11	2.4145e-11	3.25285e-13	1.80826e-13	4.28509e-05	1.65463e-07	1.4975e-06	7.0096e-06	7.35788e-09	1.36339e-08	5.02761e-08	4.55885e-07	1.14148e-07	1.00412e-08	9.38609e-07	1.51012e-09	7.10662e-06	9.62343e-05	7.58742e-07	1.17941e-05	2.43207e-07	8.61049e-07	4.7236e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
