Time	[Acetyl-CoA]	[Acetyl phosphate]	[Acetate]	[protonated acetate]	[lac repressor]	[Acetyl-CoA synthase]	[Phosphate acetyl transferase]	[acetate export]
0	0	0	0	0	0	0	0	0
1	0.000193357	0.352869	0.138438	5.11831e-07	4.59117e-05	0.000918234	1.94053	0
2	0.000101456	0.618299	0.371733	2.94722e-06	0.000280455	0.0056091	3.72144	0
3	7.61814e-05	0.87269	0.6165	7.58187e-06	0.000807624	0.0161525	5.03092	0
4	7.1088e-05	1.12795	0.860514	1.43221e-05	0.00172917	0.0345835	5.5357	0
5	7.42182e-05	1.38638	1.10135	2.30236e-05	0.00314581	0.0629162	5.51823	0
6	8.14346e-05	1.64896	1.33797	3.3536e-05	0.00515534	0.103107	5.31139	0
7	9.18103e-05	1.91649	1.56956	4.57087e-05	0.00785243	0.157049	5.0495	0
8	0.00010547	2.18969	1.79534	5.93925e-05	0.0113287	0.226574	4.77723	0
9	0.000122922	2.46927	2.0146	7.44394e-05	0.0156727	0.313454	4.50999	0
10	0.000144876	2.75588	2.22661	9.07032e-05	0.0209695	0.41939	4.25327	0
11	0.000172193	3.05017	2.4307	0.000108039	0.0273002	0.546005	4.00898	0
12	0.000205871	3.35272	2.62621	0.000126305	0.0347413	0.694827	3.77757	0
13	0.000247048	3.66408	2.81253	0.00014536	0.0433635	0.867269	3.55887	0
14	0.000297012	3.98473	2.98909	0.000165067	0.0532304	1.06461	3.35246	0
15	0.000357204	4.3151	3.15538	0.00018529	0.0643975	1.28795	3.1578	0
16	0.000429231	4.65552	3.31094	0.000205896	0.0769105	1.53821	2.97429	0
17	0.000514871	5.00624	3.45541	0.000226759	0.0908038	1.81608	2.80136	0
18	0.000616083	5.36739	3.58849	0.000247753	0.106099	2.12198	2.63842	0
19	0.000735015	5.739	3.71	0.000268759	0.122803	2.45606	2.48492	0
20	0.000874012	6.12095	3.81986	0.000289665	0.140909	2.81818	2.34032	0
21	0.00103563	6.513	3.9181	0.000310362	0.160393	3.20786	2.20412	0
22	0.00122263	6.91477	4.00485	0.000330751	0.181216	3.62431	2.07583	0
23	0.00143802	7.32573	4.08037	0.00035074	0.203321	4.06642	1.955	0
24	0.00168506	7.74522	4.14502	0.000370243	0.226639	4.53278	1.84119	0
25	0.00196728	8.17243	4.19927	0.000389187	0.251085	5.0217	1.734	0
26	0.0022885	8.60646	4.24366	0.000407506	0.276563	5.53125	1.63305	0
27	0.00265293	9.04627	4.27879	0.000425143	0.302965	6.0593	1.53797	0
28	0.00306517	9.49075	4.30533	0.000442051	0.330178	6.60356	1.44842	0
29	0.00353026	9.9387	4.32397	0.000458192	0.358081	7.16162	1.36409	0
