Time	[Phosphohomoserine]	[Threonine]	[Cystathionine]	[Homoserine]	[Inorganic phosphate]	[Cysteine]	[S-adenosylmethionine]	[Cystathionine gamma-synthase]	[Threonine synthase]
0	0	0	0	0	10000	15	20	0.7	5
1	0.996305	0	0	0	10000	15	20	0.7	5
2	1.98526	0	0	0	10000	15	20	0.7	5
3	2.96693	0	0	0	10000	15	20	0.7	5
4	3.94136	0	0	0	10000	15	20	0.7	5
5	4.90862	0	0	0	10000	15	20	0.7	5
6	5.86877	0	0	0	10000	15	20	0.7	5
7	6.82186	0	0	0	10000	15	20	0.7	5
8	7.76796	0	0	0	10000	15	20	0.7	5
9	8.70711	0	0	0	10000	15	20	0.7	5
10	9.63937	0	0	0	10000	15	20	0.7	5
11	10.5648	0	0	0	10000	15	20	0.7	5
12	11.4835	0	0	0	10000	15	20	0.7	5
13	12.3954	0	0	0	10000	15	20	0.7	5
14	13.3007	0	0	0	10000	15	20	0.7	5
15	14.1993	0	0	0	10000	15	20	0.7	5
16	15.0914	0	0	0	10000	15	20	0.7	5
17	15.977	0	0	0	10000	15	20	0.7	5
18	16.8561	0	0	0	10000	15	20	0.7	5
19	17.7288	0	0	0	10000	15	20	0.7	5
20	18.5951	0	0	0	10000	15	20	0.7	5
21	19.4552	0	0	0	10000	15	20	0.7	5
22	20.309	0	0	0	10000	15	20	0.7	5
23	21.1565	0	0	0	10000	15	20	0.7	5
24	21.998	0	0	0	10000	15	20	0.7	5
25	22.8333	0	0	0	10000	15	20	0.7	5
26	23.6625	0	0	0	10000	15	20	0.7	5
27	24.4857	0	0	0	10000	15	20	0.7	5
28	25.303	0	0	0	10000	15	20	0.7	5
29	26.1144	0	0	0	10000	15	20	0.7	5
30	26.9198	0	0	0	10000	15	20	0.7	5
31	27.7195	0	0	0	10000	15	20	0.7	5
32	28.5133	0	0	0	10000	15	20	0.7	5
33	29.3014	0	0	0	10000	15	20	0.7	5
34	30.0838	0	0	0	10000	15	20	0.7	5
35	30.8606	0	0	0	10000	15	20	0.7	5
36	31.6318	0	0	0	10000	15	20	0.7	5
37	32.3974	0	0	0	10000	15	20	0.7	5
38	33.1574	0	0	0	10000	15	20	0.7	5
39	33.912	0	0	0	10000	15	20	0.7	5
40	34.6612	0	0	0	10000	15	20	0.7	5
41	35.405	0	0	0	10000	15	20	0.7	5
42	36.1434	0	0	0	10000	15	20	0.7	5
43	36.8765	0	0	0	10000	15	20	0.7	5
44	37.6043	0	0	0	10000	15	20	0.7	5
45	38.3269	0	0	0	10000	15	20	0.7	5
46	39.0444	0	0	0	10000	15	20	0.7	5
47	39.7566	0	0	0	10000	15	20	0.7	5
48	40.4638	0	0	0	10000	15	20	0.7	5
49	41.1659	0	0	0	10000	15	20	0.7	5
50	41.8629	0	0	0	10000	15	20	0.7	5
51	42.555	0	0	0	10000	15	20	0.7	5
52	43.2421	0	0	0	10000	15	20	0.7	5
53	43.9242	0	0	0	10000	15	20	0.7	5
54	44.6015	0	0	0	10000	15	20	0.7	5
55	45.274	0	0	0	10000	15	20	0.7	5
56	45.9416	0	0	0	10000	15	20	0.7	5
57	46.6045	0	0	0	10000	15	20	0.7	5
58	47.2626	0	0	0	10000	15	20	0.7	5
59	47.916	0	0	0	10000	15	20	0.7	5
60	48.5648	0	0	0	10000	15	20	0.7	5
61	49.2089	0	0	0	10000	15	20	0.7	5
62	49.8485	0	0	0	10000	15	20	0.7	5
63	50.4835	0	0	0	10000	15	20	0.7	5
64	51.1139	0	0	0	10000	15	20	0.7	5
65	51.7399	0	0	0	10000	15	20	0.7	5
66	52.3614	0	0	0	10000	15	20	0.7	5
67	52.9785	0	0	0	10000	15	20	0.7	5
68	53.5911	0	0	0	10000	15	20	0.7	5
69	54.1995	0	0	0	10000	15	20	0.7	5
70	54.8035	0	0	0	10000	15	20	0.7	5
71	55.4032	0	0	0	10000	15	20	0.7	5
72	55.9986	0	0	0	10000	15	20	0.7	5
73	56.5898	0	0	0	10000	15	20	0.7	5
74	57.1768	0	0	0	10000	15	20	0.7	5
75	57.7597	0	0	0	10000	15	20	0.7	5
76	58.3384	0	0	0	10000	15	20	0.7	5
77	58.913	0	0	0	10000	15	20	0.7	5
78	59.4835	0	0	0	10000	15	20	0.7	5
79	60.05	0	0	0	10000	15	20	0.7	5
80	60.6125	0	0	0	10000	15	20	0.7	5
81	61.171	0	0	0	10000	15	20	0.7	5
82	61.7255	0	0	0	10000	15	20	0.7	5
83	62.2761	0	0	0	10000	15	20	0.7	5
84	62.8228	0	0	0	10000	15	20	0.7	5
85	63.3656	0	0	0	10000	15	20	0.7	5
86	63.9046	0	0	0	10000	15	20	0.7	5
87	64.4398	0	0	0	10000	15	20	0.7	5
88	64.9712	0	0	0	10000	15	20	0.7	5
89	65.4989	0	0	0	10000	15	20	0.7	5
90	66.0228	0	0	0	10000	15	20	0.7	5
91	66.543	0	0	0	10000	15	20	0.7	5
92	67.0595	0	0	0	10000	15	20	0.7	5
93	67.5724	0	0	0	10000	15	20	0.7	5
94	68.0817	0	0	0	10000	15	20	0.7	5
95	68.5874	0	0	0	10000	15	20	0.7	5
96	69.0895	0	0	0	10000	15	20	0.7	5
97	69.5881	0	0	0	10000	15	20	0.7	5
98	70.0831	0	0	0	10000	15	20	0.7	5
99	70.5747	0	0	0	10000	15	20	0.7	5
100	71.0628	0	0	0	10000	15	20	0.7	5
