Time	[Ligand]	[Receptor]	[Inactive heterotrimeric G-protein]	[Free levels of G-beta-gamma]	[G-alpha-GDP]	[G-alpha-GTP]	[Receptor-Ligand]
0	6.02e+17	10000	7000	3000	3000	0	0
1	6.02e+17	1385.95	9472.45	527.55	0.109977	527.44	8593.7
2	6.02e+17	230.521	8723.82	1276.18	0.109991	1276.07	9715.53
3	6.02e+17	75.4079	8078.59	1921.41	0.109994	1921.3	9835.4
4	6.02e+17	54.4522	7552.41	2447.59	0.109995	2447.48	9821
5	6.02e+17	51.4896	7126.93	2873.07	0.109996	2872.96	9788.72
6	6.02e+17	50.9408	6783.48	3216.52	0.109996	3216.41	9754.17
7	6.02e+17	50.7163	6506.53	3493.47	0.109997	3493.36	9719.42
8	6.02e+17	50.5359	6283.45	3716.55	0.109997	3716.44	9684.77
9	6.02e+17	50.362	6104.02	3895.98	0.109997	3895.87	9650.26
10	6.02e+17	50.1895	5959.96	4040.04	0.109997	4039.93	9615.88
11	6.02e+17	50.0178	5844.6	4155.4	0.109997	4155.29	9581.63
12	6.02e+17	49.8469	5752.49	4247.51	0.109997	4247.4	9547.53
13	6.02e+17	49.6766	5679.27	4320.73	0.109997	4320.62	9513.56
14	6.02e+17	49.507	5621.36	4378.64	0.109997	4378.53	9479.72
15	6.02e+17	49.3381	5575.9	4424.1	0.109997	4423.99	9446.02
16	6.02e+17	49.1698	5540.54	4459.46	0.109997	4459.35	9412.45
17	6.02e+17	49.0022	5513.39	4486.61	0.109997	4486.5	9379.01
18	6.02e+17	48.8353	5492.9	4507.1	0.109997	4506.99	9345.71
19	6.02e+17	48.669	5477.84	4522.16	0.109997	4522.05	9312.54
20	6.02e+17	48.5034	5467.2	4532.8	0.109997	4532.69	9279.5
21	6.02e+17	48.3385	5460.13	4539.87	0.109997	4539.76	9246.6
22	6.02e+17	48.1742	5455.99	4544.01	0.109997	4543.9	9213.82
23	6.02e+17	48.0106	5454.22	4545.78	0.109997	4545.67	9181.18
24	6.02e+17	47.8476	5454.38	4545.62	0.109997	4545.51	9148.66
25	6.02e+17	47.6853	5456.12	4543.88	0.109997	4543.77	9116.27
26	6.02e+17	47.5236	5459.14	4540.86	0.109997	4540.75	9084.02
27	6.02e+17	47.3625	5463.2	4536.8	0.109997	4536.69	9051.89
28	6.02e+17	47.2021	5468.11	4531.89	0.109997	4531.78	9019.88
29	6.02e+17	47.0424	5473.71	4526.29	0.109997	4526.18	8988.01
30	6.02e+17	46.8832	5479.87	4520.13	0.109997	4520.02	8956.26
31	6.02e+17	46.7247	5486.49	4513.51	0.109997	4513.4	8924.64
32	6.02e+17	46.5668	5493.49	4506.51	0.109997	4506.4	8893.14
33	6.02e+17	46.4096	5500.79	4499.21	0.109997	4499.1	8861.77
34	6.02e+17	46.253	5508.34	4491.66	0.109997	4491.55	8830.53
35	6.02e+17	46.097	5516.09	4483.91	0.109997	4483.8	8799.4
36	6.02e+17	45.9416	5524	4476	0.109997	4475.89	8768.4
37	6.02e+17	45.7868	5532.04	4467.96	0.109997	4467.85	8737.53
38	6.02e+17	45.6327	5540.19	4459.81	0.109997	4459.7	8706.78
39	6.02e+17	45.4792	5548.42	4451.58	0.109997	4451.47	8676.15
40	6.02e+17	45.3262	5556.73	4443.27	0.109997	4443.16	8645.64
41	6.02e+17	45.1739	5565.09	4434.91	0.109997	4434.8	8615.25
42	6.02e+17	45.0222	5573.49	4426.51	0.109997	4426.4	8584.98
43	6.02e+17	44.8711	5581.93	4418.07	0.109997	4417.96	8554.84
44	6.02e+17	44.7206	5590.39	4409.61	0.109997	4409.5	8524.81
45	6.02e+17	44.5707	5598.87	4401.13	0.109997	4401.02	8494.9
46	6.02e+17	44.4214	5607.37	4392.63	0.109997	4392.52	8465.11
47	6.02e+17	44.2727	5615.89	4384.11	0.109997	4384	8435.44
48	6.02e+17	44.1246	5624.41	4375.59	0.109997	4375.48	8405.89
49	6.02e+17	43.977	5632.93	4367.07	0.109997	4366.96	8376.46
50	6.02e+17	43.8301	5641.46	4358.54	0.109997	4358.43	8347.14
51	6.02e+17	43.6837	5649.98	4350.02	0.109997	4349.91	8317.94
52	6.02e+17	43.5379	5658.51	4341.49	0.109997	4341.38	8288.85
53	6.02e+17	43.3927	5667.03	4332.97	0.109997	4332.86	8259.88
54	6.02e+17	43.2481	5675.56	4324.44	0.109997	4324.33	8231.03
55	6.02e+17	43.104	5684.07	4315.93	0.109997	4315.82	8202.29
56	6.02e+17	42.9605	5692.59	4307.41	0.109997	4307.3	8173.66
57	6.02e+17	42.8176	5701.09	4298.91	0.109997	4298.8	8145.15
58	6.02e+17	42.6753	5709.6	4290.4	0.109997	4290.29	8116.75
59	6.02e+17	42.5335	5718.09	4281.91	0.109997	4281.8	8088.47
60	6.02e+17	42.3923	5726.58	4273.42	0.109997	4273.31	8060.29
61	6.02e+17	42.2516	5735.06	4264.94	0.109997	4264.83	8032.23
62	6.02e+17	42.1115	5743.54	4256.46	0.109997	4256.35	8004.28
63	6.02e+17	41.972	5752	4248	0.109997	4247.89	7976.44
64	6.02e+17	41.833	5760.46	4239.54	0.109997	4239.43	7948.72
65	6.02e+17	41.6946	5768.91	4231.09	0.109997	4230.98	7921.1
66	6.02e+17	41.5567	5777.35	4222.65	0.109997	4222.54	7893.59
67	6.02e+17	41.4194	5785.79	4214.21	0.109997	4214.1	7866.19
68	6.02e+17	41.2826	5794.21	4205.79	0.109997	4205.68	7838.9
69	6.02e+17	41.1463	5802.63	4197.37	0.109997	4197.26	7811.72
70	6.02e+17	41.0106	5811.04	4188.96	0.109997	4188.85	7784.65
71	6.02e+17	40.8755	5819.44	4180.56	0.109997	4180.45	7757.68
72	6.02e+17	40.7408	5827.83	4172.17	0.109997	4172.06	7730.82
73	6.02e+17	40.6068	5836.22	4163.78	0.109997	4163.67	7704.07
74	6.02e+17	40.4732	5844.59	4155.41	0.109997	4155.3	7677.42
75	6.02e+17	40.3402	5852.95	4147.05	0.109997	4146.94	7650.88
76	6.02e+17	40.2077	5861.31	4138.69	0.109997	4138.58	7624.45
77	6.02e+17	40.0757	5869.66	4130.34	0.109997	4130.23	7598.12
78	6.02e+17	39.9443	5877.99	4122.01	0.109997	4121.9	7571.9
79	6.02e+17	39.8133	5886.32	4113.68	0.109997	4113.57	7545.78
80	6.02e+17	39.6829	5894.64	4105.36	0.109997	4105.25	7519.76
81	6.02e+17	39.553	5902.95	4097.05	0.109997	4096.94	7493.85
82	6.02e+17	39.4237	5911.25	4088.75	0.109997	4088.64	7468.04
83	6.02e+17	39.2948	5919.54	4080.46	0.109997	4080.35	7442.33
84	6.02e+17	39.1665	5927.82	4072.18	0.109997	4072.07	7416.72
85	6.02e+17	39.0386	5936.1	4063.9	0.109997	4063.79	7391.22
86	6.02e+17	38.9113	5944.36	4055.64	0.109997	4055.53	7365.82
87	6.02e+17	38.7845	5952.61	4047.39	0.109997	4047.28	7340.52
88	6.02e+17	38.6582	5960.86	4039.14	0.109997	4039.03	7315.32
89	6.02e+17	38.5324	5969.09	4030.91	0.109997	4030.8	7290.22
90	6.02e+17	38.407	5977.31	4022.69	0.109997	4022.58	7265.21
91	6.02e+17	38.2822	5985.53	4014.47	0.109997	4014.36	7240.31
92	6.02e+17	38.1579	5993.73	4006.27	0.109997	4006.16	7215.51
93	6.02e+17	38.0341	6001.93	3998.07	0.109997	3997.96	7190.81
94	6.02e+17	37.9107	6010.11	3989.89	0.109997	3989.78	7166.2
95	6.02e+17	37.7879	6018.28	3981.72	0.109997	3981.61	7141.69
96	6.02e+17	37.6655	6026.45	3973.55	0.109997	3973.44	7117.28
97	6.02e+17	37.5437	6034.6	3965.4	0.109997	3965.29	7092.97
98	6.02e+17	37.4223	6042.75	3957.25	0.109997	3957.14	7068.75
99	6.02e+17	37.3014	6050.88	3949.12	0.109997	3949.01	7044.63
100	6.02e+17	37.181	6059	3941	0.109997	3940.89	7020.61
