Time	[A]	[G]	[GA]	[T]	[R]	[G*T]	[GD]	[Pi]	[D]	[RG]	[RG*T]	[G*AT]	[GAD]	[RGD]	[RGA]	[RG*AT]	[RGAD]
0	0	1e-08	0	0.000468	1e-05	0	0	0.0044	0.000149	0	0	0	0	0	0	0	0
1	0	3.25677e-19	0	0.00046799	9.99001e-06	9.61764e-12	3.28066e-16	0.0044	0.000149	3.39068e-13	9.90835e-09	0	0	8.16892e-11	0	0	0
2	0	3.24996e-19	0	0.00046799	9.99001e-06	9.597e-12	3.78706e-16	0.0044	0.000149	4.07616e-13	9.88711e-09	0	0	1.02883e-10	0	0	0
3	0	3.24788e-19	0	0.00046799	9.99001e-06	9.59072e-12	3.94126e-16	0.0044	0.000149	4.28489e-13	9.88064e-09	0	0	1.09337e-10	0	0	0
4	0	3.2472e-19	0	0.00046799	9.99001e-06	9.58864e-12	3.99224e-16	0.0044	0.000149	4.35389e-13	9.87851e-09	0	0	1.1147e-10	0	0	0
5	0	3.247e-19	0	0.000467989	9.99001e-06	9.58803e-12	4.00724e-16	0.0044	0.000149001	4.37419e-13	9.87788e-09	0	0	1.12098e-10	0	0	0
6	0	3.24703e-19	0	0.000467989	9.99001e-06	9.58811e-12	4.00519e-16	0.0044	0.000149001	4.37142e-13	9.87796e-09	0	0	1.12012e-10	0	0	0
7	0	3.24706e-19	0	0.000467989	9.99001e-06	9.58821e-12	4.00296e-16	0.0044	0.000149001	4.3684e-13	9.87806e-09	0	0	1.11919e-10	0	0	0
8	0	3.24709e-19	0	0.000467989	9.99001e-06	9.58831e-12	4.00039e-16	0.0044	0.000149001	4.36492e-13	9.87816e-09	0	0	1.11811e-10	0	0	0
9	0	3.24706e-19	0	0.000467989	9.99001e-06	9.58821e-12	4.00285e-16	0.0044	0.000149001	4.36825e-13	9.87806e-09	0	0	1.11914e-10	0	0	0
10	0	3.24703e-19	0	0.000467989	9.99001e-06	9.58811e-12	4.00523e-16	0.0044	0.000149001	4.37147e-13	9.87796e-09	0	0	1.12014e-10	0	0	0
11	0	3.24699e-19	0	0.000467989	9.99001e-06	9.58798e-12	4.00853e-16	0.0044	0.000149001	4.37594e-13	9.87782e-09	0	0	1.12152e-10	0	0	0
12	0	3.24696e-19	0	0.000467989	9.99001e-06	9.58791e-12	4.01028e-16	0.0044	0.000149001	4.37831e-13	9.87775e-09	0	0	1.12225e-10	0	0	0
13	0	3.24695e-19	0	0.000467988	9.99001e-06	9.58786e-12	4.01143e-16	0.0044	0.000149002	4.37986e-13	9.8777e-09	0	0	1.12273e-10	0	0	0
14	0	3.24695e-19	0	0.000467988	9.99001e-06	9.58787e-12	4.0113e-16	0.0044	0.000149002	4.37969e-13	9.87771e-09	0	0	1.12268e-10	0	0	0
15	0	3.24696e-19	0	0.000467988	9.99001e-06	9.58788e-12	4.011e-16	0.0044	0.000149002	4.37928e-13	9.87772e-09	0	0	1.12255e-10	0	0	0
16	0	3.24696e-19	0	0.000467988	9.99001e-06	9.58788e-12	4.01089e-16	0.0044	0.000149002	4.37913e-13	9.87772e-09	0	0	1.12251e-10	0	0	0
17	0	3.24696e-19	0	0.000467988	9.99001e-06	9.5879e-12	4.01052e-16	0.0044	0.000149002	4.37863e-13	9.87774e-09	0	0	1.12235e-10	0	0	0
18	0	3.24697e-19	0	0.000467988	9.99001e-06	9.58791e-12	4.01026e-16	0.0044	0.000149002	4.37827e-13	9.87775e-09	0	0	1.12224e-10	0	0	0
19	0	3.24697e-19	0	0.000467988	9.99001e-06	9.58791e-12	4.01016e-16	0.0044	0.000149002	4.37814e-13	9.87775e-09	0	0	1.1222e-10	0	0	0
20	0	3.24697e-19	0	0.000467988	9.99001e-06	9.58792e-12	4.01007e-16	0.0044	0.000149002	4.37802e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
21	0	3.24697e-19	0	0.000467987	9.99001e-06	9.58792e-12	4.01007e-16	0.0044	0.000149003	4.37801e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
22	0	3.24697e-19	0	0.000467987	9.99001e-06	9.58792e-12	4.01006e-16	0.0044	0.000149003	4.37801e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
23	0	3.24698e-19	0	0.000467987	9.99001e-06	9.58792e-12	4.01006e-16	0.0044	0.000149003	4.37801e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
24	0	3.24698e-19	0	0.000467987	9.99001e-06	9.58792e-12	4.01006e-16	0.0044	0.000149003	4.378e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
25	0	3.24698e-19	0	0.000467987	9.99001e-06	9.58792e-12	4.01006e-16	0.0044	0.000149003	4.378e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
26	0	3.24698e-19	0	0.000467987	9.99001e-06	9.58792e-12	4.01006e-16	0.0044	0.000149003	4.378e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
27	0	3.24698e-19	0	0.000467987	9.99001e-06	9.58792e-12	4.01006e-16	0.0044	0.000149003	4.378e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
28	0	3.24698e-19	0	0.000467987	9.99001e-06	9.58792e-12	4.01006e-16	0.0044	0.000149003	4.37799e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
29	0	3.24698e-19	0	0.000467986	9.99001e-06	9.58792e-12	4.01006e-16	0.0044	0.000149004	4.37799e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
30	0	3.24698e-19	0	0.000467986	9.99001e-06	9.58792e-12	4.01005e-16	0.0044	0.000149004	4.37799e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
31	0	3.24698e-19	0	0.000467986	9.99001e-06	9.58792e-12	4.01005e-16	0.0044	0.000149004	4.37799e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
32	0	3.24698e-19	0	0.000467986	9.99001e-06	9.58792e-12	4.01005e-16	0.0044	0.000149004	4.37799e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
33	0	3.24698e-19	0	0.000467986	9.99001e-06	9.58792e-12	4.01005e-16	0.0044	0.000149004	4.37798e-13	9.87776e-09	0	0	1.12216e-10	0	0	0
