Time	[Ctelo]	[Utelo]	[Cdc13]	[Rad17Utelo]	[Rad17]	[Rad24]	[RPA]	[Mec1]	[ssDNA]	[RPAssDNA]	[RPAssDNA1]	[RPAssDNA2]	[Mec1RPAssDNA]	[ExoXI]	[ExoXA]	[Exo1I]	[Exo1A]	[Rad9I]	[Rad9A]	[Rad53I]	[Rad53A]	[Chk1I]	[Chk1A]	[Dun1I]	[Dun1A]	[ATP]	[ADP]	[Rad9Kin]	[recovery]	[G1]	[S]	[G2]	[M]	[G1cyclin]	[Scyclin]	[G2cyclin]	[Mcyclin]	[G1CdkI]	[G1CdkA]	[SCdkI]	[SCdkA]	[G2CdkI]	[G2CdkA]	[MCdkI]	[MCdkA]	[G1Soff]	[G1Son]	[SG2off]	[SG2on]	[G2Moff]	[G2Mon]	[MG1off]	[MG1on]	[sink]	[budscar]
0	64	0	300	0	70	70	4000	4000	0	0	0	0	0	70	0	670	0	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
1	63.9771	0.0228761	300.023	5.74513e-07	70	70	4000	4000	2.49822e-06	1.02597e-15	2.90327e-06	1.05365e-10	1.52413e-15	70	1.07402e-07	646.923	23.0767	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	0.159904	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
2	63.9574	0.0425568	300.043	2.18971e-06	70	70	4000	4000	1.15007e-05	5.88584e-13	2.88795e-05	1.04283e-08	1.92389e-12	70	6.74782e-07	624.641	45.3586	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	0.319616	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
3	63.9405	0.059488	300.059	4.7002e-06	70	70	4000	4000	2.57036e-05	1.78668e-11	0.000101703	1.29407e-07	9.20287e-11	70	1.83363e-06	603.127	66.873	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	0.479137	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
4	63.9259	0.0740537	300.074	7.98092e-06	70	70	4000	4000	4.35978e-05	1.73314e-10	0.000238714	7.13726e-07	1.25223e-09	70	3.57334e-06	582.354	87.6465	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	0.638466	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
5	63.9134	0.0865841	300.087	1.19242e-05	70	70	4000	4000	6.39286e-05	9.34812e-10	0.000451289	2.55541e-06	8.74858e-09	70	5.83925e-06	562.296	107.704	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	0.797605	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
6	63.9026	0.0973635	300.097	1.64376e-05	70	70	4000	4000	8.56607e-05	3.48768e-09	0.000745679	6.99409e-06	4.05226e-08	70	8.56758e-06	542.929	127.071	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	0.956552	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
7	63.8933	0.106637	300.107	2.14413e-05	70	70	4000	4000	0.00010795	1.01385e-08	0.00112379	1.59362e-05	1.41961e-07	70	1.16973e-05	524.229	145.771	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	1.11531	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
8	63.8854	0.114614	300.115	2.68668e-05	70	70	4000	4000	0.000130121	2.45994e-08	0.00158394	3.17831e-05	4.06345e-07	70	1.51737e-05	506.173	163.827	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	1.27388	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
9	63.8785	0.121476	300.122	3.26552e-05	70	70	4000	4000	0.000151656	5.20511e-08	0.00212165	5.72896e-05	9.98195e-07	70	1.89487e-05	488.739	181.261	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	1.43225	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
10	63.8726	0.127379	300.127	3.87558e-05	70	70	4000	4000	0.000172167	9.89477e-08	0.00273037	9.53823e-05	2.17553e-06	70	2.29808e-05	471.905	198.095	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	1.59044	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
11	63.8675	0.132457	300.133	4.51249e-05	70	70	4000	4000	0.000191391	1.72598e-07	0.00340216	0.000148969	4.30716e-06	70	2.72341e-05	455.651	214.349	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	1.74843	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
12	63.8631	0.136825	300.137	5.17249e-05	69.9999	70	4000	4000	0.000209162	2.80619e-07	0.00412829	0.000220767	7.88204e-06	70	3.16778e-05	439.957	230.043	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	1.90624	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
13	63.8594	0.140582	300.141	5.85237e-05	69.9999	70	3999.99	4000	0.000225396	4.30351e-07	0.00489975	0.000313159	1.35096e-05	70	3.62852e-05	424.804	245.196	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	2.06386	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
14	63.8561	0.143815	300.144	6.54934e-05	69.9999	70	3999.99	4000	0.000240077	6.28353e-07	0.00570767	0.000428101	2.19109e-05	70	4.10335e-05	410.172	259.828	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	2.22129	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
15	63.8533	0.146595	300.147	7.26101e-05	69.9999	70	3999.99	4000	0.000253233	8.80006e-07	0.00654358	0.000567067	3.39032e-05	70	4.59029e-05	396.045	273.955	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	2.37853	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
16	63.8509	0.148987	300.149	7.98534e-05	69.9999	70	3999.99	4000	0.000264932	1.18927e-06	0.00739962	0.000731034	5.03786e-05	69.9999	5.08766e-05	382.404	287.596	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	2.53558	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
17	63.8489	0.151044	300.151	8.72054e-05	69.9999	70	3999.99	4000	0.000275261	1.55862e-06	0.00826871	0.000920499	7.22806e-05	69.9999	5.59399e-05	369.233	300.767	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	2.69244	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
