Time	[SO4_ex]	[EtOH_ex]	[O2_ex]	[O2]	[H2O]	[ATP]	[APS]	[PPi]	[PAPS]	[SO4]	[EtOH]	[ADP]	[H2S]	[CYS]	[NADH]	[NAD]	[AcCoA]	[OAH]	[S1]	[S2]	[C1]	[C2]	[ADP_mit]	[ATP_mit]	[Ho]	[Hm]
0	0	0	0	7	0	1.5	0.5	0	0.4	0.4	4	0.5	0.5	0.3	2	0	0.3	1.5	1.5	0.5	0	0	0.5	1.5	0	0
1	0	0	0	7.25945	0	1.4845	0.461355	0	0.390425	0.309513	5.44377	0.5155	0.565916	0.33918	1.95659	0.0434092	0.297919	1.42967	1.70808	0.291922	0	0	0.523781	1.47622	0	0
2	0	0	0	7.4149	0	1.43501	0.413212	0	0.368822	0.239335	7.24211	0.564988	0.619179	0.380416	1.97153	0.0284695	0.296524	1.41326	1.80327	0.196731	0	0	0.706865	1.29314	0	0
3	0	0	0	7.50788	0	1.37638	0.363499	0	0.338117	0.186034	9.28095	0.623623	0.656622	0.421955	1.97976	0.0202414	0.292708	1.39263	1.85743	0.142572	0	0	0.881476	1.11852	0	0
4	0	0	0	7.55537	0	1.32666	0.316335	0	0.302734	0.145682	11.4511	0.673342	0.677809	0.461473	1.98431	0.0156945	0.293869	1.37899	1.89026	0.109739	0	0	1.00233	0.997673	0	0
5	0	0	0	7.56826	0	1.30558	0.273043	0	0.26698	0.114675	13.6545	0.694416	0.682968	0.498152	1.98673	0.0132747	0.304899	1.39355	1.91124	0.0887568	0	0	1.0457	0.954298	0	0
6	0	0	0	7.54988	0	1.32296	0.233461	0	0.233879	0.0902106	15.7903	0.677037	0.672354	0.532737	1.98774	0.0122587	0.330635	1.45796	1.92518	0.0748162	0	0	1.00494	0.995061	0	0
7	0	0	0	7.49578	0	1.37486	0.197107	0	0.204711	0.07044	17.7362	0.625143	0.645812	0.567135	1.98759	0.0124075	0.378207	1.59815	1.93454	0.0654592	0	0	0.878322	1.12168	0	0
8	0	0	0	7.39115	0	1.4432	0.163851	0	0.17926	0.0543275	19.318	0.556802	0.602338	0.604055	1.98612	0.0138761	0.460234	1.85465	1.94052	0.0594811	0	0	0.680538	1.31946	0	0
9	0	0	0	7.20602	0	1.50302	0.134065	0	0.156504	0.0413568	20.2599	0.496985	0.53987	0.646663	1.98269	0.0173117	0.598636	2.29811	1.94354	0.0564596	0	0	0.467259	1.53274	0	0
10	0	0	0	6.9023	0	1.54164	0.108237	0	0.135544	0.0311666	20.1385	0.458357	0.456298	0.697444	1.97608	0.0239231	0.818673	3.03595	1.94343	0.0565653	0	0	0.302763	1.69724	0	0
11	0	0	0	6.51328	0	1.5614	0.0865133	0	0.116116	0.0233405	18.5377	0.438597	0.35429	0.753814	1.96573	0.0342711	1.08923	4.11447	1.93954	0.0604573	0	0	0.209342	1.79066	0	0
12	0	0	0	6.23387	0	1.56893	0.0686535	0	0.0983386	0.0174364	15.675	0.431074	0.249947	0.800631	1.95409	0.0459094	1.25206	5.2178	1.93026	0.0697449	0	0	0.173067	1.82693	0	0
13	0	0	0	6.14325	0	1.5709	0.0541986	0	0.0823912	0.0130524	12.4513	0.429098	0.166751	0.81742	1.9426	0.0573966	1.23133	5.80606	1.91269	0.0873142	0	0	0.164419	1.83558	0	0
14	0	0	0	6.13373	0	1.57127	0.0426261	0	0.0683991	0.00985047	9.50767	0.42873	0.112874	0.800321	1.92948	0.0705178	1.11154	5.77338	1.88373	0.11627	0	0	0.163663	1.83634	0	0
15	0	0	0	6.14406	0	1.57124	0.0334452	0	0.0563751	0.00756485	7.08821	0.428758	0.0814462	0.759968	1.91365	0.0863508	0.951548	5.31639	1.83888	0.161124	0	0	0.164702	1.8353	0	0
16	0	0	0	6.15979	0	1.57108	0.0262303	0	0.046217	0.00600225	5.276	0.428925	0.0636598	0.707674	1.8956	0.104398	0.780402	4.62557	1.7728	0.227201	0	0	0.166277	1.83372	0	0
17	0	0	0	6.17689	0	1.57084	0.0206271	0	0.0377491	0.00503736	4.04516	0.429155	0.053551	0.650879	1.87701	0.122985	0.627019	3.86264	1.68489	0.315113	0	0	0.168019	1.83198	0	0
18	0	0	0	6.19304	0	1.5706	0.0163518	0	0.0307666	0.00460971	3.27533	0.4294	0.047622	0.593887	1.85982	0.140179	0.512286	3.16971	1.58552	0.414483	0	0	0.169693	1.83031	0	0
19	0	0	0	6.20681	0	1.57037	0.0131904	0	0.0250717	0.00472545	2.81401	0.429628	0.0438378	0.539117	1.84535	0.154653	0.437557	2.63045	1.49214	0.507864	0	0	0.171143	1.82886	0	0
20	0	0	0	6.21762	0	1.57018	0.0109984	0	0.0204953	0.00546642	2.53845	0.429823	0.0410324	0.487846	1.83408	0.16592	0.392083	2.25465	1.41691	0.583093	0	0	0.172299	1.8277	0	0
21	0	0	0	6.22558	0	1.57001	0.00970548	0	0.0169072	0.0070092	2.37121	0.429987	0.0385978	0.440633	1.82583	0.174166	0.364787	2.00964	1.36212	0.637876	0	0	0.173165	1.82684	0	0
22	0	0	0	6.23118	0	1.56987	0.00932503	0	0.0142222	0.00965799	2.26791	0.430134	0.0362827	0.397595	1.82006	0.179938	0.348233	1.85521	1.32444	0.675556	0	0	0.17379	1.82621	0	0
23	0	0	0	6.23499	0	1.56972	0.00997284	0	0.0124073	0.0138966	2.20326	0.430282	0.0340523	0.358605	1.81614	0.183859	0.338041	1.75915	1.29931	0.700694	0	0	0.174237	1.82576	0	0
24	0	0	0	6.23754	0	1.56954	0.0118982	0	0.0114933	0.020466	2.16239	0.430456	0.0320001	0.323421	1.81353	0.186474	0.331687	1.69955	1.2828	0.7172	0	0	0.174568	1.82543	0	0
25	0	0	0	6.23922	0	1.56931	0.0155317	0	0.0115945	0.0304728	2.13634	0.430687	0.0303033	0.291769	1.81179	0.188206	0.327687	1.66245	1.27204	0.727961	0	0	0.174837	1.82516	0	0
26	0	0	0	6.24034	0	1.56899	0.0215541	0	0.0129388	0.0455309	2.11951	0.431013	0.0292109	0.263391	1.81064	0.18936	0.325148	1.63922	1.26502	0.734984	0	0	0.17509	1.82491	0	0
27	0	0	0	6.24111	0	1.56851	0.0309871	0	0.0159098	0.0679163	2.10838	0.431486	0.0290583	0.23807	1.80985	0.190153	0.32352	1.62453	1.26037	0.739629	0	0	0.17537	1.82463	0	0
28	0	0	0	6.24168	0	1.56783	0.0452957	0	0.0211024	0.10067	2.1006	0.432175	0.0303026	0.215659	1.80926	0.190739	0.322456	1.61505	1.25718	0.742816	0	0	0.175722	1.82428	0	0
29	0	0	0	6.24216	0	1.56684	0.0664643	0	0.0293854	0.147483	2.09461	0.433163	0.0335769	0.196097	1.80877	0.19123	0.32173	1.60864	1.25482	0.745181	0	0	0.176193	1.82381	0	0
30	0	0	0	6.24264	0	1.56546	0.0969515	0	0.0419498	0.212038	2.08923	0.434542	0.0397571	0.179438	1.80829	0.191715	0.321193	1.60388	1.25282	0.747182	0	0	0.176833	1.82317	0	0
31	0	0	0	6.24324	0	1.56362	0.139353	0	0.0602921	0.296387	2.08359	0.436383	0.0500273	0.165878	1.80773	0.192265	0.320731	1.59975	1.25083	0.749172	0	0	0.177685	1.82231	0	0
32	0	0	0	6.24416	0	1.56131	0.195547	0	0.0860459	0.39814	2.07702	0.438686	0.0659066	0.155789	1.80707	0.192928	0.32025	1.59542	1.24858	0.751419	0	0	0.178775	1.82123	0	0
33	0	0	0	6.24595	0	1.55868	0.265244	0	0.120558	0.507313	2.06942	0.44132	0.0891793	0.149742	1.80633	0.193669	0.319649	1.59012	1.24596	0.754039	0	0	0.180112	1.81989	0	0
34	0	0	0	6.25033	0	1.556	0.344321	0	0.164173	0.60527	2.06248	0.444002	0.121654	0.148492	1.80582	0.194185	0.318786	1.58301	1.24333	0.756665	0	0	0.181785	1.81821	0	0
35	0	0	0	6.26251	0	1.5536	0.424007	0	0.215392	0.668888	2.06334	0.446403	0.164725	0.15292	1.80663	0.193372	0.317442	1.57306	1.24257	0.757426	0	0	0.184289	1.81571	0	0
36	0	0	0	6.29604	0	1.55156	0.492267	0	0.270286	0.680608	2.09367	0.448438	0.218832	0.163875	1.81176	0.188236	0.315366	1.55907	1.24955	0.750455	0	0	0.189319	1.81068	0	0
37	0	0	0	6.37767	0	1.54927	0.537703	0	0.322672	0.638903	2.20592	0.450727	0.28307	0.181968	1.82693	0.173068	0.312625	1.54035	1.2779	0.722102	0	0	0.201118	1.79888	0	0
38	0	0	0	6.53948	0	1.54496	0.554105	0	0.365316	0.559406	2.49988	0.455038	0.355058	0.207391	1.85718	0.142824	0.310115	1.51856	1.34805	0.651949	0	0	0.228147	1.77185	0	0
39	0	0	0	6.78282	0	1.53541	0.542412	0	0.392163	0.464603	3.11151	0.464591	0.430737	0.239851	1.89757	0.102433	0.308965	1.4983	1.46827	0.531726	0	0	0.28394	1.71606	0	0
40	0	0	0	7.04946	0	1.51609	0.509035	0	0.400617	0.372542	4.14609	0.483914	0.504198	0.278519	1.93383	0.0661706	0.308464	1.48237	1.61024	0.389764	0	0	0.383617	1.61638	0	0
41	0	0	0	7.26932	0	1.48247	0.462523	0	0.391858	0.292892	5.6069	0.517532	0.568994	0.321788	1.95808	0.041917	0.305818	1.46572	1.73007	0.269927	0	0	0.53253	1.46747	0	0
42	0	0	0	7.41848	0	1.43342	0.410779	0	0.369356	0.228579	7.40927	0.566579	0.620438	0.36711	1.97214	0.027859	0.300417	1.44113	1.81099	0.189015	0	0	0.712411	1.28759	0	0
43	0	0	0	7.5075	0	1.37662	0.359512	0	0.337624	0.178621	9.44153	0.623383	0.656335	0.411625	1.97999	0.0200067	0.295983	1.41271	1.86106	0.138945	0	0	0.880945	1.11905	0	0
44	0	0	0	7.55218	0	1.33005	0.31175	0	0.301526	0.140297	11.5978	0.66995	0.676107	0.453338	1.98435	0.0156477	0.297574	1.39665	1.89221	0.107793	0	0	0.994552	1.00545	0	0
45	0	0	0	7.56238	0	1.31274	0.268285	0	0.265405	0.110584	13.7792	0.687258	0.679842	0.491792	1.98665	0.0133483	0.309752	1.41311	1.91234	0.0876638	0	0	1.03027	0.969733	0	0
46	0	0	0	7.54061	0	1.33346	0.228733	0	0.232163	0.0869974	15.8821	0.66654	0.667699	0.527985	1.98756	0.0124404	0.337507	1.48333	1.92577	0.0742293	0	0	0.981203	1.0188	0	0
47	0	0	0	7.48141	0	1.38693	0.192552	0	0.20293	0.0678757	17.7781	0.613066	0.639421	0.563997	1.98728	0.0127246	0.388477	1.63425	1.93477	0.0652313	0	0	0.846564	1.15344	0	0
48	0	0	0	7.36834	0	1.45384	0.159621	0	0.177388	0.0522913	19.2819	0.546162	0.593881	0.602664	1.98559	0.0144081	0.476272	1.90925	1.94043	0.0595736	0	0	0.645873	1.35413	0	0
49	0	0	0	7.16943	0	1.5101	0.130307	0	0.154503	0.039773	20.0995	0.489903	0.528947	0.647192	1.98178	0.0182192	0.623949	2.38381	1.94308	0.0569168	0	0	0.438911	1.56109	0	0
50	0	0	0	6.84955	0	1.54544	0.105029	0	0.133455	0.0299614	19.7922	0.454559	0.442819	0.699753	1.97459	0.0254071	0.85401	3.16591	1.94249	0.0575069	0	0	0.285287	1.71471	0	0
51	0	0	0	6.46361	0	1.56299	0.0838542	0	0.114035	0.0224383	17.9913	0.437008	0.339575	0.756454	1.96379	0.0362141	1.11858	4.2699	1.93789	0.0621067	0	0	0.20164	1.79836	0	0
52	0	0	0	6.21317	0	1.56938	0.0664928	0	0.096359	0.0167708	15.0411	0.430622	0.237267	0.800494	1.95207	0.0479312	1.25313	5.31939	1.92743	0.0725731	0	0	0.170984	1.82902	0	0
53	0	0	0	6.14024	0	1.57098	0.0524661	0	0.0805823	0.0125695	11.854	0.429016	0.158315	0.812761	1.94032	0.0596776	1.21174	5.80779	1.90807	0.0919251	0	0	0.164171	1.83583	0	0
54	0	0	0	6.13536	0	1.57126	0.0412512	0	0.0668016	0.00950841	9.00147	0.428736	0.108144	0.792173	1.92669	0.0733136	1.08285	5.69622	1.87656	0.123444	0	0	0.163832	1.83617	0	0
55	0	0	0	6.14693	0	1.57121	0.0323652	0	0.0550014	0.00733319	6.69513	0.428792	0.079056	0.750041	1.91034	0.0896587	0.918894	5.19061	1.82804	0.171956	0	0	0.16499	1.83501	0	0
56	0	0	0	6.16307	0	1.57103	0.0253924	0	0.0450593	0.00586101	4.99908	0.428973	0.0625936	0.697175	1.89204	0.107965	0.74893	4.47788	1.75758	0.242425	0	0	0.166611	1.83339	0	0
